Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-1.13474810495973E-02,2.12343279272318E-02,2.50787548720837E-02
0.1,-1.07123795896769E-02,1.82123295962811E-02,4.17969338595867E-02
0.2,-9.96618717908859E-03,1.46307852119207E-02,5.82100413739681E-02
0.3,-9.12309065461159E-03,1.05942124500871E-02,7.41545408964157E-02
0.4,-0.008199667558074,6.22983695939183E-03,8.94559994339943E-02
0.5,-7.21504027023911E-03,1.67823815718293E-03,0.103932172060013
0.6,-6.19127508252859E-03,-2.91540962643921E-03,0.117404706776142
0.7,-5.15290768817067E-03,-7.41077354177833E-03,0.129667550325394
0.8,-4.12594247609377E-03,-1.16812624037266E-02,0.140541285276413
0.9,-3.13687790185213E-03,-1.56192556023598E-02,0.149828851222992
1,-2.21124850213528E-03,-1.91383566707373E-02,0.157366707921028
1.1,-1.3722776202485E-03,-2.21730954945087E-02,0.163019716739655
1.2,-6.39386242255569E-04,-2.46771462261677E-02,0.166667282581329
1.3,-2.74276517302496E-05,-2.66167614609003E-02,0.168232589960098
1.4,4.54096560133621E-04,-2.79665943235159E-02,0.167699053883553
1.5,8.01111746113747E-04,-2.87044607102871E-02,0.16507875919342
1.6,1.01444125175476E-03,-2.88057625293732E-02,0.160419538617134
1.7,1.09952525235713E-03,-2.82457545399666E-02,0.153829649090767
1.8,1.06509134639055E-03,-2.69968584179878E-02,0.145419895648956
1.9,9.22453938983381E-04,-2.50352378934622E-02,0.135345235466957
2,6.8450381513685E-04,-2.23446097224951E-02,0.12378016859293
2.1,3.65057727321982E-04,-1.89240723848343E-02,0.110897094011307
2.2,-2.15177969948854E-05,-0.01479228772223,9.68962386250496E-02
