Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,3.15398313105106E-02,2.7681005303748E-04,-0.124463938176632
0.1,3.30547243356705E-02,2.80764565104619E-04,-0.126991927623749
0.2,3.42281796038151E-02,2.79139319900423E-04,-0.127999573945999
0.3,3.50441448390484E-02,2.72489880444482E-04,-0.127470389008522
0.4,0.035490408539772,2.61137407505885E-04,-0.125412166118622
0.5,3.55587303638458E-02,2.45770672336221E-04,-0.121857151389122
0.6,3.52451726794243E-02,2.27240612730384E-04,-0.116860456764698
0.7,3.45501154661179E-02,2.05607662792318E-04,-0.110488913953304
0.8,0.033478569239378,1.81844254257157E-04,-0.102827176451683
0.9,3.20401936769485E-02,1.5640894707758E-04,-9.39846560359001E-02
1,3.02492287009954E-02,1.29760344862007E-04,-8.40637534856796E-02
1.1,0.028124438598752,1.028490223689E-04,-7.31820091605186E-02
1.2,2.56887804716825E-02,7.62234994908795E-05,-0.061479639261961
1.3,2.29690726846457E-02,5.04760100739077E-05,-4.90880087018013E-02
1.4,1.99955701828003E-02,2.65120379481232E-05,-3.61591875553131E-02
1.5,1.68013852089643E-02,5.22863138030516E-06,-2.28595733642578E-02
1.6,1.34219070896506E-02,-1.28687343021738E-05,-9.34415869414806E-03
1.7,9.89430956542492E-03,-2.73711611953331E-05,4.19720914214849E-03
1.8,6.25707488507032E-03,-3.78915501642041E-05,1.75823029130697E-02
1.9,2.5493917055428E-03,-4.40367475675885E-05,3.06292194873095E-02
2,-1.1892004404217E-03,-4.61409872514196E-05,4.31594736874104E-02
2.1,-4.91907959803939E-03,-4.43547614850104E-05,5.49881346523762E-02
2.2,-8.60111135989428E-03,-3.94537019019481E-05,6.59614726901054E-02
2.3,-1.21964914724231E-02,-3.21137013088446E-05,7.59351924061775E-02
2.4,-1.56674720346928E-02,-2.32827569561778E-05,8.47975984215736E-02
2.5,-1.89773291349411E-02,-1.38138530019205E-05,9.24505367875099E-02
2.6,-2.20909211784601E-02,-4.74159742225311E-06,9.88245010375977E-02
2.7,-2.49748863279819E-02,3.07969344248704E-06,0.103881374001503
2.8,-2.75981351733208E-02,8.93774085852783E-06,0.10760160535574
2.9,-2.99323406070471E-02,1.23020872706547E-05,0.109984911978245
3,-3.19522581994534E-02,1.27840849017957E-05,0.111050322651863
3.1,-3.36361899971962E-02,1.02129597507883E-05,0.110835038125515
3.2,-3.49664092063904E-02,4.56900988865527E-06,0.10938236862421
3.3,-3.59293706715107E-02,-4.15215026805527E-06,0.106752082705498
3.4,-3.65159139037132E-02,-1.54948083945783E-05,0.103005662560463
3.5,-3.67213487625122E-02,-2.92871554847807E-05,9.82238724827766E-02
3.6,-3.65454629063606E-02,-4.53598840977065E-05,9.24789980053902E-02
3.7,-3.59924100339413E-02,-6.31949442322366E-05,8.58651399612427E-02
3.8,-3.50706242024899E-02,-8.22135043563321E-05,7.84841254353523E-02
3.9,-3.37924174964428E-02,-1.0230941552436E-04,7.04384297132492E-02
4,-3.21739055216312E-02,-1.22638943139464E-04,6.18417672812939E-02
4.1,-0.03023468144238,-1.4317108434625E-04,5.28249740600586E-02
4.2,-2.79976315796375E-02,-1.62767260917462E-04,4.35015819966793E-02
4.3,-2.54886541515589E-02,-1.80918737896718E-04,3.39991711080074E-02
4.4,-2.27363649755716E-02,-1.97100176592357E-04,2.44349371641874E-02
4.5,-1.97719540446997E-02,-2.10245430935174E-04,1.49310790002346E-02
4.6,-1.66288316249847E-02,-2.19874462345615E-04,5.59060135856271E-03
4.7,-1.33422035723925E-02,-2.25412353756838E-04,-3.49022727459669E-03
