Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-6.58947741612792E-04,-1.19357275252696E-04,-2.85024736076593E-02
0.1,0.001509731519036,-1.1096728121629E-04,-2.34553590416908E-02
0.2,3.67249781265855E-03,-1.02017678727861E-04,-0.018131585791707
0.3,5.80178806558251E-03,-9.28632871364243E-05,-1.26305064186454E-02
0.4,7.87164177745581E-03,-8.39697240735404E-05,-7.04225338995457E-03
0.5,9.85841732472181E-03,-7.54776410758495E-05,-1.44801149144769E-03
0.6,1.17411436513066E-02,-6.75785122439265E-05,4.08367160707712E-03
0.7,1.35014448314905E-02,-6.03090120421257E-05,9.49408020824194E-03
0.8,1.51232937350869E-02,-5.36018524144311E-05,1.47311938926578E-02
0.9,0.016592301428318,-4.73165746370796E-05,1.97457410395145E-02
1,1.78952123969793E-02,-4.1271821828559E-05,2.44869813323021E-02
1.1,1.90192982554436E-02,-3.52858078258578E-05,2.88982409983873E-02
1.2,1.99520755559206E-02,-2.919798498624E-05,3.29205319285393E-02
1.3,2.06812024116516E-02,-2.29171764658531E-05,3.64825241267681E-02
1.4,2.11948286741972E-02,-1.64590492204297E-05,3.95187214016914E-02
1.5,0.021482290700078,-9.86273062153487E-06,4.19629141688347E-02
1.6,2.15349197387695E-02,-3.25405449075333E-06,4.37427498400211E-02
1.7,0.021347101777792,3.17206718136731E-06,4.48209084570408E-02
1.8,2.09171213209629E-02,9.32702459977008E-06,0.045167338103056
1.9,0.020248044282198,1.50677888086648E-05,4.47803251445293E-02
2,1.93479899317026E-02,2.0358727851999E-05,0.043674610555172
2.1,1.82302929461002E-02,2.52513600571547E-05,4.19110953807831E-02
2.2,0.016912879422307,2.98844515782548E-05,3.95425073802471E-02
2.3,1.54175879433751E-02,3.44179170497227E-05,3.66639196872711E-02
2.4,1.37690016999841E-02,3.9235659642145E-05,3.33639904856682E-02
2.5,1.19931707158685E-02,4.44824909209274E-05,0.029745128005743
2.6,1.01164458319545E-02,5.05319403600879E-05,2.59016454219818E-02
2.7,8.16441234201193E-03,5.74863552174065E-05,2.19060108065605E-02
2.8,6.16115098819137E-03,6.532808765769E-05,0.017835596576333
2.9,4.12882398813963E-03,7.41189069231041E-05,1.37469656765461E-02
3,2.08771857433021E-03,8.35810278658755E-05,9.68186091631651E-03
3.1,5.6551714806119E-05,9.34003037400544E-05,5.67632401362062E-03
3.2,-1.94698350969702E-03,1.0317240958102E-04,1.7698350129649E-03
3.3,-3.90566745772958E-03,1.12433692265768E-04,-2.01052124612033E-03
3.4,-5.8021591976285E-03,1.20724747830536E-04,-5.62887918204069E-03
3.5,-7.61859677731991E-03,1.2758604134433E-04,-9.04266815632582E-03
3.6,-9.33656375855207E-03,1.32785717141815E-04,-1.22023187577724E-02
3.7,-1.09372902661562E-02,1.3596293865703E-04,-0.015056885778904
3.8,-1.24021619558334E-02,1.37035516672768E-04,-1.75509620457888E-02
3.9,-1.37134175747633E-02,1.35960697662085E-04,-1.96327827870846E-02
4,-1.48550076410174E-02,1.32783461594954E-04,-2.12582536041737E-02
4.1,-1.58133283257484E-02,1.27600811538287E-04,-2.23950929939747E-02
4.2,-1.65779739618301E-02,1.205365115311E-04,-2.30278074741364E-02
4.3,-0.017141941934824,1.11784276668914E-04,-2.31505036354065E-02
4.4,-1.75019633024931E-02,1.01481360616162E-04,-2.27790214121342E-02
4.5,-1.76581032574177E-02,8.97903664736077E-05,-2.19461359083652E-02
4.6,-1.76135189831257E-02,7.68757745390758E-05,-2.06925682723522E-02
4.7,-1.73737555742264E-02,6.29187998129055E-05,-1.90556570887566E-02
4.8,-1.69462393969297E-02,4.80962080473546E-05,-1.70945320278406E-02
4.9,-1.63397062569857E-02,3.26788613165263E-05,-1.48476911708713E-02
5,-1.55639406293631E-02,1.69770246429835E-05,-1.23724713921547E-02
5.1,-1.46296769380569E-02,1.35745881379989E-06,-9.71206091344357E-03
5.2,-1.35487383231521E-02,-1.38225605041953E-05,-6.90777320414782E-03
5.3,-1.23344222083688E-02,-2.80370350083103E-05,-4.00583352893591E-03
5.4,-0.01100192964077,-4.09769054385833E-05,-1.06983329169452E-03
5.5,-9.56874061375856E-03,-5.22352020198014E-05,1.84317224193364E-03
5.6,-8.05493071675301E-03,-6.15463723079301E-05,4.66192746534944E-03
5.7,-6.48314459249377E-03,-6.88349246047437E-05,7.30042345821857E-03
5.8,-4.87823598086834E-03,-7.39676397643052E-05,9.68342088162899E-03
5.9,-3.26657271943986E-03,-7.72182902437635E-05,1.17181912064552E-02
6,-1.67505338322371E-03,-7.87864773883484E-05,1.33193321526051E-02
6.1,-1.29858148284256E-04,-7.90396734373644E-05,1.44016072154045E-02
6.2,1.34485668968409E-03,-7.84558724262752E-05,1.49227464571595E-02
6.3,2.72807478904724E-03,-7.73255305830389E-05,0.014844523742795
6.4,4.0029832161963E-03,-7.61485134717077E-05,1.41627555713058E-02
6.5,5.15745161101222E-03,-7.5146606832277E-05,1.28950234502554E-02
6.6,6.18417887017131E-03,-7.45098441257142E-05,1.10977152362466E-02
6.7,7.08033097907901E-03,-7.42402917239815E-05,8.83661024272442E-03
6.8,7.84677267074585E-03,-7.43588680052198E-05,6.20892830193043E-03
6.9,8.48699081689119E-03,-7.46671503293328E-05,3.30425333231688E-03
7,9.00593027472496E-03,-7.50031758798286E-05,2.28530203457922E-04
7.1,9.40884370356798E-03,-7.51390325604007E-05,-2.93556624092162E-03
7.2,9.70032997429371E-03,-7.49051469028927E-05,-6.10626069828868E-03
7.3,9.88374557346106E-03,-7.42392221582122E-05,-9.22372099012136E-03
7.4,9.96104441583157E-03,-7.31174077372998E-05,-1.22482096776366E-02
7.5,9.93297714740038E-03,-7.16199283488095E-05,-1.51473470032215E-02
7.6,9.79975331574678E-03,-6.99331285431981E-05,-1.79023910313845E-02
7.7,9.56174451857805E-03,-6.82697063894011E-05,-2.04984303563833E-02
7.8,9.22056660056114E-03,-6.68697466608137E-05,-2.29265615344048E-02
7.9,8.77974648028612E-03,-6.59180659567937E-05,-2.51660961657763E-02
8,8.24551098048687E-03,-6.55856056255288E-05,-2.71882358938456E-02
8.1,7.62699032202363E-03,-6.58924036542885E-05,-2.89555173367262E-02
8.2,6.93616969510913E-03,-6.67615531710908E-05,-3.04212253540754E-02
8.3,6.1875251121819E-03,-6.80343291605823E-05,-3.15319448709488E-02
8.4,5.39715774357319E-03,-6.93886540830135E-05,-3.22379283607006E-02
8.5,4.58204001188278E-03,-7.04792328178883E-05,-3.24756242334843E-02
8.6,3.75886494293809E-03,-7.09150481270626E-05,-3.22176851332188E-02
8.7,2.94333999045193E-03,-7.03244731994346E-05,-3.14358100295067E-02
8.8,2.14945245534182E-03,-6.84213591739535E-05,-3.01082786172628E-02
8.9,1.38909893576056E-03,-6.48960412945598E-05,-2.82371565699577E-02
9,6.72089343424886E-04,-5.96925965510309E-05,-2.58537363260984E-02
9.1,6.27413737674942E-06,-5.26445764990058E-05,-2.29882597923279E-02
9.2,-6.01962034124881E-04,-4.3900447053602E-05,-1.96704994887114E-02
9.3,-1.14723341539502E-03,-3.34765791194513E-05,-1.59560404717922E-02
9.4,-1.62475113756955E-03,-2.15553955058567E-05,-1.18797663599253E-02
9.5,-2.03000521287322E-03,-8.32534169603605E-06,-7.49539164826274E-03
9.6,-2.35873204655945E-03,6.06170988248778E-06,-2.84452736377716E-03
9.7,-2.60711926966906E-03,2.14535193663323E-05,2.03166645951569E-03
