Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,0.105228930711746,-1.32276036310941E-03,-0.808712482452393
0.1,9.87504869699478E-02,-1.47023482713848E-03,-0.78191214799881
0.2,9.14620757102966E-02,-1.60708965267986E-03,-0.749514639377594
0.3,8.34313556551933E-02,-1.73230958171189E-03,-0.711845099925995
0.4,7.47337937355042E-02,-1.84518075548112E-03,-0.669195353984833
0.5,6.54523298144341E-02,-1.94507942069322E-03,-0.62197482585907
0.6,5.56761883199215E-02,-2.03065457753837E-03,-0.570624530315399
0.7,4.55000177025795E-02,-2.1030951756984E-03,-0.515517294406891
0.8,3.50227914750576E-02,-2.16137710958719E-03,-0.457242220640183
0.9,2.43465825915337E-02,-2.20611062832177E-03,-0.396248608827591
1,1.35755054652691E-02,-2.23709153942764E-03,-0.333030879497528
1.1,2.81412596814334E-03,-2.25445302203298E-03,-0.268218040466309
1.2,-7.83330388367176E-03,-2.25835642777383E-03,-0.202273160219193
1.3,-1.82647090405226E-02,-2.24908371455967E-03,-0.135739356279373
1.4,-2.83810179680586E-02,-2.2275485098362E-03,-6.91499561071396E-02
1.5,-3.80872339010239E-02,-2.19341274350882E-03,-3.07311187498271E-03
1.6,-4.72943410277367E-02,-2.14724382385612E-03,6.19499310851097E-02
1.7,-5.59197589755058E-02,-2.08965060301125E-03,0.125568836927414
1.8,-0.06388820707798,-2.02095997519791E-03,0.187151506543159
1.9,-7.11333155632019E-02,-1.94151711184531E-03,0.246403962373734
2,-7.75978937745094E-02,-1.85176357626915E-03,0.302789688110352
2.1,-8.32347869873047E-02,-1.75217224750668E-03,0.356067091226578
2.2,-8.80076065659523E-02,-1.64281413890421E-03,0.405884236097336
2.3,-9.18904021382332E-02,-1.52435014024377E-03,0.451916217803955
2.4,-9.48690250515938E-02,-1.39727594796568E-03,0.493943870067596
2.5,-9.69405174255371E-02,-1.26141391228884E-03,0.531724691390991
2.6,-9.81133431196213E-02,-1.11849512904882E-03,0.565157115459442
2.7,-9.84070524573326E-02,-9.67624364420772E-04,0.594136953353882
