Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,0.0,0.0,0.0
0.1,2.85252754110843E-04,4.72385296598077E-03,1.81299960240722E-03
0.2,8.04734649136662E-04,0.019308764487505,7.40624452009797E-03
0.3,1.04648259002715E-03,4.41803783178329E-02,1.69365666806698E-02
0.4,4.94991894811392E-04,7.94992372393608E-02,3.04591730237007E-02
0.5,-1.36060523800552E-03,0.125155866146088,4.79259565472603E-02
0.6,-5.01838838681579E-03,0.180769830942154,6.91850557923317E-02
0.7,-1.09556708484888E-02,0.245691433548927,9.39817503094673E-02
0.8,-1.96211822330952E-02,0.319007694721222,0.121960192918777
0.9,-3.14275436103344E-02,0.399549722671509,0.152667224407196
1,-4.67442087829113E-02,0.485906481742859,0.185556665062904
1.1,-6.58906847238541E-02,0.576439082622528,0.219994574785233
1.2,-8.91303941607475E-02,0.669296622276306,0.255266606807709
1.3,-0.116665132343769,0.762440919876099,0.290585905313492
1.4,-0.148629799485207,0.853665411472321,0.325101017951965
1.5,-0.185088753700256,0.940623223781586,0.357908368110657
1.6,-0.226031541824341,1.02085471153259,0.388061076402664
1.7,-0.271370559930801,1.09181642532349,0.414582252502441
1.8,-0.320939511060715,1.15091383457184,0.436476290225983
1.9,-0.374491453170776,1.19553124904633,0.452745378017426
2,-0.431700110435486,1.22307169437408,0.462400019168854
2.1,-0.492160111665726,1.23098409175873,0.464481621980667
2.2,-0.555388510227203,1.21680569648743,0.458061844110489
2.3,-0.620828688144684,1.17819488048553,0.442278474569321
2.4,-0.687854409217834,1.11296570301056,0.416333764791489
2.5,-0.755773663520813,1.01912522315979,0.37951672077179
2.6,-0.823836803436279,0.894901514053345,0.331212848424911
2.7,-0.891240894794464,0.738782346248627,0.270927309989929
2.8,-0.957140624523163,0.549540460109711,0.19828337430954
2.9,-1.02065527439117,0.326261520385742,0.113049760460854
3,-1.0808779001236,6.83697164058685E-02,0.015131177380681
3.1,-1.13688778877258,-0.224358960986137,-9.54155176877975E-02
3.2,-1.18775916099548,-0.551767885684967,-0.218353614211082
3.3,-1.23257064819336,-0.913314461708069,-0.3533094227314
3.4,-1.27042365074158,-1.30806660652161,-0.499728173017502
3.5,-1.30044639110565,-1.73469352722168,-0.65688419342041
3.6,-1.32180666923523,-2.19146871566772,-0.823911190032959
3.7,-1.33372712135315,-2.67627573013306,-0.999778985977173
3.8,-1.33549380302429,-3.18663716316223,-1.18330121040344
3.9,-1.32646155357361,-3.71970272064209,-1.3731894493103
4,-1.3060714006424,-4.27229738235474,-1.56800675392151
4.1,-1.27385258674622,-4.8409366607666,-1.76623952388763
4.2,-1.22942936420441,-5.42187452316284,-1.96629917621613
4.3,-1.17253386974335,-6.01109838485718,-2.16650462150574
4.4,-1.10300004482269,-6.60443496704102,-2.36520195007324
4.5,-1.02077293395996,-7.19752883911133,-2.56069040298462
4.6,-0.925909638404846,-7.78592586517334,-2.75130772590637
4.7,-0.818574905395508,-8.36511135101318,-2.93542242050171
4.8,-0.699050784111023,-8.9305305480957,-3.11148118972778
4.9,-0.56771993637085,-9.47769832611084,-3.27801561355591
5,-0.425070494413376,-10.0021867752075,-3.43366026878357
5.1,-0.27168881893158,-10.4997005462646,-3.57719039916992
5.2,-0.108248591423035,-10.9661426544189,-3.70751976966858
5.3,6.44860044121742E-02,-11.3976106643677,-3.82369494438171
5.4,0.245680779218674,-11.7904720306396,-3.92494130134583
5.5,0.43443900346756,-12.1414003372192,-4.01062774658203
5.6,0.629800617694855,-12.4473943710327,-4.08029413223267
5.7,0.830770313739777,-12.7058086395264,-4.13363552093506
5.8,1.03630864620209,-12.9143514633179,-4.17049789428711
5.9,1.24535572528839,-13.071159362793,-4.19087982177734
6,1.45684146881104,-13.1747512817383,-4.19487857818604
6.1,1.66968846321106,-13.2240314483643,-4.1827335357666
6.2,1.88282644748688,-13.2183198928833,-4.15478563308716
6.3,2.09519362449646,-13.1573438644409,-4.11145830154419
