Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,0.0,0.0,0.0
2e-3,-2.29238494853234E-07,8.70199357017043E-10,7.00339739978517E-07
4e-3,-9.17502632091782E-07,3.48328876853543E-09,2.79751589005173E-06
6e-3,-2.06561117011006E-06,7.84298670453154E-09,6.28575253358577E-06
8e-3,-3.67437905879342E-06,1.39530031972868E-08,1.11592607936473E-05
0.01,-5.7446168284514E-06,2.1804416050486E-08,1.7412232409697E-05
0.012,-8.27712392492685E-06,3.14205585993932E-08,2.5038845706149E-05
0.014,-1.12727038867888E-05,4.2797026367225E-08,3.40332662744913E-05
0.016,-1.4732153431396E-05,5.59374520037181E-08,4.43896460637916E-05
0.018,-1.86562592716655E-05,7.08454450659701E-08,5.61021370231174E-05
0.02,-2.30458044825355E-05,8.75245902420829E-08,6.91648383508436E-05
0.022,-2.79015712294495E-05,1.05978472220158E-07,8.35718383314088E-05
0.024,-3.322431439301E-05,1.26210565554175E-07,9.93172216112725E-05
0.026,-3.9014845242491E-05,1.48224572171785E-07,1.16395174700301E-04
0.028,-4.52739077445585E-05,1.72023945310684E-07,1.34799614897929E-04
0.03,-5.20022476848681E-05,1.97612081365151E-07,1.54524677782319E-04
0.032,-5.92006363149267E-05,2.24992589892281E-07,1.75564404344186E-04
0.034,-6.68698121444322E-05,2.54168867286353E-07,1.97912682779133E-04
0.036,-7.50105537008494E-05,2.84983684650797E-07,2.21563648665324E-04
0.038,-8.36235412862152E-05,3.17743712230367E-07,2.46511248406023E-04
0.04,-9.27095752558671E-05,3.523089162627E-07,2.72749486612156E-04
0.042,-1.02269303170033E-04,3.88900502912293E-07,3.0027239699848E-04
0.044,-1.12303518108092E-04,4.27106925826592E-07,3.29073780449107E-04
0.046,-1.22812940389849E-04,4.67129609660333E-07,3.59147466951981E-04
0.048,-1.33798224851489E-04,5.0897170922326E-07,3.9048763574101E-04
0.05,-1.45260157296434E-04,5.52636606698798E-07,4.23088204115629E-04
0.052,-1.571994216647E-04,5.98127769535495E-07,4.56942740129307E-04
0.054,-1.69616672792472E-04,6.45447983060876E-07,4.92045481223613E-04
0.056,-1.82512609171681E-04,6.94600885253749E-07,5.28390053659678E-04
0.058,-1.9588804570958E-04,7.45589886719245E-07,5.65970316529274E-04
0.06,-2.09743520827033E-04,7.97977861566324E-07,6.04780158028007E-04
0.062,-2.24079674808308E-04,8.53087726682134E-07,6.44813640974462E-04
0.064,-2.38897337112576E-04,9.09603329546371E-07,6.86064013279974E-04
0.066,-2.54197104368359E-04,9.67967366705125E-07,7.28525745216757E-04
0.068,-2.69979675067589E-04,1.02818330560694E-06,7.72192201111466E-04
0.07,-2.86245631286874E-04,1.09025381789252E-06,8.17056861706078E-04
0.072,-3.02995787933469E-04,1.15355408070172E-06,8.63114022649825E-04
0.074,-3.20230523357168E-04,1.21930895602418E-06,9.10357106477022E-04
0.076,-3.37950768880546E-04,1.2869274996774E-06,9.58780117798597E-04
0.078,-3.5615693195723E-04,1.35641175802448E-06,1.00837659556419E-03
0.08,-3.74849827494472E-04,1.42776571010472E-06,1.0591404279694E-03
0.082,-3.9402992115356E-04,1.50099151596805E-06,1.11106445547193E-03
0.084,-4.13697940530255E-04,1.57609281359328E-06,1.16414367221296E-03
0.086,-4.33854525908828E-04,1.65307221777766E-06,1.21837109327316E-03
0.088,-4.54500288469717E-04,1.73286252902471E-06,1.27374043222517E-03
0.09,-4.7563569387421E-04,1.81267762400239E-06,1.33024423848838E-03
0.092,-4.9726152792573E-04,1.89530931038462E-06,1.3878783211112E-03
0.094,-5.19378168974072E-04,1.98088696379273E-06,1.44663453102112E-03
0.096,-5.41986373718828E-04,2.06734443963796E-06,1.50650658179075E-03
0.098,-5.65086840651929E-04,2.15569957617845E-06,1.56748935114592E-03
0.1,-5.88680035434663E-04,2.24595373765624E-06,1.62957480642945E-03
0.102,-6.12766249105334E-04,2.33810919780808E-06,1.69275735970587E-03
0.104,-6.373465876095E-04,2.43217027673381E-06,1.7570307245478E-03
0.106,-6.62421400193125E-04,2.52813879342284E-06,1.82238779962063E-03
0.108,-6.87990919686854E-04,2.62601702161192E-06,1.88882229849696E-03
0.11,-7.14056193828583E-04,2.7258090540272E-06,1.95632805116475E-03
0.112,-7.40617513656616E-04,2.82751625491073E-06,2.02489807270467E-03
0.114,-7.67675519455224E-04,2.93114248961501E-06,2.09452654235065E-03
0.116,-7.95230735093355E-04,3.03669003187679E-06,2.16520647518337E-03
0.118,-8.23283975478262E-04,3.1425242923433E-06,2.23692995496094E-03
0.12,-8.51834833156317E-04,3.25355836139352E-06,2.30969348922372E-03
0.122,-8.80884763319045E-04,3.36488483299036E-06,2.38348823040724E-03
0.124,-9.10433998797089E-04,3.47814261658641E-06,2.45830765925348E-03
0.126,-9.40482888836414E-04,3.59333398591843E-06,2.53414525650442E-03
0.128,-9.71032306551933E-04,3.71046257896523E-06,2.61099613271654E-03
0.13,-1.00208271760494E-03,3.82953203370562E-06,2.68885120749474E-03
0.132,-1.03363406378776E-03,3.95054075852386E-06,2.76770535856485E-03
0.134,-1.06568750925362E-03,4.07349489250919E-06,2.84755160100758E-03
0.136,-1.09824340324849E-03,4.19839625465102E-06,2.92838271707296E-03
0.138,-1.13130197860301E-03,4.32524666393874E-06,3.01019381731749E-03
0.14,-1.16486323531717E-03,4.45404612037237E-06,3.09297489002347E-03
0.142,-1.19892903603613E-03,4.58480235465686E-06,3.17672220990062E-03
0.144,-1.23349891509861E-03,4.71751491204486E-06,3.26142879202962E-03
0.146,-1.2685734545812E-03,4.85218470203108E-06,3.34708672016859E-03
0.148,-1.30415288731456E-03,4.98629333378631E-06,3.43368644826114E-03
0.15,-1.34023814462125E-03,5.1248234740342E-06,3.52122820913792E-03
0.152,-1.37682934291661E-03,5.26531812283793E-06,3.60970129258931E-03
0.154,-1.4139274135232E-03,5.40506107427063E-06,3.69909987784922E-03
0.156,-1.45153200719506E-03,5.54942516828305E-06,3.78941558301449E-03
0.158,-1.4896442880854E-03,5.69576195630361E-06,3.8806430529803E-03
0.16,-1.52826390694827E-03,5.84407052883762E-06,3.97277250885963E-03
0.162,-1.56739191152155E-03,5.99435452386388E-06,4.0658013895154E-03
0.164,-1.60702841822058E-03,6.14967984802206E-06,4.15971921756864E-03
0.166,-1.64717412553728E-03,6.30399335932452E-06,4.25452133640647E-03
0.168,-1.68782914988697E-03,6.46028865958215E-06,4.35020169243217E-03
0.17,-1.72899395693094E-03,6.61856802253169E-06,4.44675190374255E-03
0.172,-1.7706697108224E-03,6.77883781463606E-06,4.54416545107961E-03
0.174,-1.81285524740815E-03,6.94109348842176E-06,4.64243534952402E-03
0.176,-1.85555208008736E-03,7.10534095560433E-06,4.74155554547906E-03
0.178,-1.89876044169068E-03,7.26801044947933E-06,4.84151765704155E-03
0.18,-1.94248068146408E-03,7.43617147236364E-06,4.94231609627604E-03
0.182,-1.98671291582286E-03,7.60632838137099E-06,5.04394294694066E-03
0.184,-2.03145761042833E-03,7.77848526922753E-06,5.14638936147094E-03
0.186,-2.07671499811113E-03,7.95264168118592E-06,5.24965254589915E-03
0.188,-2.12248601019382E-03,8.12880080047762E-06,5.35372411832213E-03
0.19,-2.16876994818449E-03,8.31099714559969E-06,5.45859104022384E-03
0.192,-2.21556751057506E-03,8.49124262458645E-06,5.56425517424941E-03
0.194,-2.26288079284132E-03,8.66931077325717E-06,5.67071093246341E-03
0.196,-2.31070746667683E-03,8.85349800228141E-06,5.77794341370463E-03
0.198,-2.35905009321868E-03,9.03970158105949E-06,5.88594749569893E-03
0.2,-2.40790657699108E-03,9.22791150514968E-06,5.99471759051085E-03
0.202,-2.45727971196175E-03,9.4181423264672E-06,6.10424438491464E-03
0.204,-2.50716763548553E-03,9.61038767854916E-06,6.21452461928129E-03
0.206,-2.55757290869951E-03,9.80465483735316E-06,6.32555084303021E-03
0.208,-2.6084934361279E-03,1.00009392554057E-05,6.4373123459518E-03
0.21,-2.65993131324649E-03,1.01992482086644E-05,6.54980354011059E-03
0.212,-2.71188700571656E-03,1.03995844256133E-05,6.66302116587758E-03
0.214,-2.76435865089297E-03,1.06019415397896E-05,6.77695032209158E-03
0.216,-2.81734857708216E-03,1.08063286461402E-05,6.89159147441387E-03
0.218,-2.87085701711476E-03,1.10127475636546E-05,7.00693717226386E-03
0.22,-2.92488234117627E-03,1.12211928353645E-05,7.12297298014164E-03
0.222,-2.97942711040378E-03,1.14316744657117E-05,7.23969796672463E-03
0.224,-3.03448899649084E-03,1.16441833597492E-05,7.35710002481937E-03
0.226,-3.09007172472775E-03,1.18587367978762E-05,7.47517868876457E-03
0.228,-3.14617226831615E-03,1.20753211376723E-05,7.59392324835062E-03
0.23,-3.20279318839312E-03,1.22939482025686E-05,7.7133271843195E-03
0.232,-3.25993308797479E-03,1.25146116261021E-05,7.83338211476803E-03
0.234,-3.31759313121438E-03,1.273732050322E-05,7.95407965779305E-03
0.236,-3.37577355094254E-03,1.29620711959433E-05,8.07541701942682E-03
0.238,-3.43447318300605E-03,1.31888627947774E-05,8.19738209247589E-03
0.24,-3.4936941228807E-03,1.34177043946693E-05,8.3199692890048E-03
0.242,-3.55343613773584E-03,1.36485932671349E-05,8.44317488372326E-03
0.244,-3.61369899474084E-03,1.38815312311635E-05,8.56698676943779E-03
0.246,-3.67448246106505E-03,1.41165182867553E-05,8.69139842689037E-03
0.248,-3.73578746803105E-03,1.43535553434049E-05,8.81640426814556E-03
0.25,-3.79761378280818E-03,1.45926451295963E-05,8.94199684262276E-03
0.252,-3.85996187105775E-03,1.48337894643191E-05,9.06816590577364E-03
0.254,-3.92283266410232E-03,1.50769910760573E-05,9.19490959495306E-03
0.256,-3.98622453212738E-03,1.53222463268321E-05,9.3222176656127E-03
0.258,-4.05013933777809E-03,1.55695634020958E-05,9.45007894188166E-03
0.26,-4.11457614973187E-03,1.58189359353855E-05,9.57849342375994E-03
0.262,-4.17953543365002E-03,1.60703712026589E-05,9.70744621008635E-03
0.264,-4.24501718953252E-03,1.6323865565937E-05,9.83693730086088E-03
0.266,-4.31102281436324E-03,1.65794244821882E-05,9.9669573828578E-03
0.268,-4.37755091115832E-03,1.6837046132423E-05,1.00974962115288E-02
0.27,-4.44460287690163E-03,1.70967341546202E-05,1.02285454049706E-02
0.272,-4.51217545196414E-03,1.73584812728222E-05,0.010360099375248
0.274,-4.58027375862002E-03,1.76223002199549E-05,1.04921543970704E-02
0.276,-4.64889546856284E-03,1.78881909960182E-05,1.06246965005994E-02
0.278,-4.71804011613131E-03,1.81561445060652E-05,1.07577228918672E-02
0.28,-4.78770770132542E-03,1.84261662070639E-05,1.08912251889706E-02
0.282,-4.85790008679032E-03,1.86982633749722E-05,1.10251922160387E-02
0.284,-4.92861727252603E-03,1.89724341908004E-05,1.11596249043941E-02
0.286,-4.99985739588737E-03,1.92486750165699E-05,1.12945102155209E-02
0.288,-5.07162231951952E-03,1.95269931282382E-05,1.14298369735479E-02
0.29,-5.14390971511602E-03,1.9807377611869E-05,1.15656051784754E-02
0.292,-5.21672330796719E-03,2.00898448383668E-05,1.17018055170774E-02
0.294,-5.29005890712142E-03,2.03743820748059E-05,1.18384202942252E-02
0.296,-5.36392023786902E-03,2.06610002351226E-05,0.011975459754467
0.298,-5.43830683454871E-03,2.09496975003276E-05,1.21129071339965E-02
0.3,-5.51321683451533E-03,2.12404720514314E-05,1.22507466003299E-02
0.302,-5.58865116909146E-03,2.15333257074235E-05,1.23889874666929E-02
0.304,-5.66461030393839E-03,2.18282584683038E-05,1.25276111066341E-02
0.306,-5.74109610170126E-03,2.21252794290194E-05,1.26666110008955E-02
0.308,-5.8181039057672E-03,2.24243722186657E-05,1.28059824928641E-02
0.31,-5.89563604444265E-03,2.2725547751179E-05,1.29457153379917E-02
0.312,-5.97369438037276E-03,2.30288114835275E-05,1.30858030170202E-02
0.314,-6.05227705091238E-03,2.33341579587432E-05,1.32262408733368E-02
0.316,-6.13138498738408E-03,2.36415889958153E-05,1.33670205250382E-02
0.318,-0.006211016792804,2.39511045947438E-05,1.35081242769957E-02
0.32,-6.29117479547858E-03,2.42627083935076E-05,1.36495633050799E-02
0.322,-6.37185573577881E-03,2.45763912971597E-05,1.37913124635816E-02
0.324,-6.45306054502726E-03,2.48921605816577E-05,1.39333661645651E-02
0.326,-6.53479248285294E-03,2.52100235229591E-05,1.40757309272885E-02
0.328,-6.61704828962684E-03,2.55299692071276E-05,1.42183881253004E-02
0.33,-6.69982889667153E-03,2.58520085480995E-05,1.43613265827298E-02
0.332,-6.78313337266445E-03,2.61761306319386E-05,1.45045490935445E-02
0.334,-6.86696358025074E-03,2.65023463725811E-05,1.46480444818735E-02
0.336,-6.95131765678525E-03,2.68306466750801E-05,0.014791795052588
0.338,-7.03619560226798E-03,2.71610388153931E-05,1.49358082562685E-02
0.34,-7.12159788236022E-03,2.74935155175626E-05,1.50800673291087E-02
0.342,-7.20752496272326E-03,2.78280895145144E-05,1.52245601639152E-02
0.344,-7.29397684335709E-03,2.81647535302909E-05,0.015369295142591
0.346,-7.38095166161656E-03,2.85035057459027E-05,0.015514250844717
0.348,-7.4684526771307E-03,2.88443516183179E-05,1.56594235450029E-02
0.35,-7.55647569894791E-03,2.91872856905684E-05,1.58048085868359E-02
0.352,-7.64502491801977E-03,2.953232069558E-05,1.59503966569901E-02
0.354,-7.73409567773342E-03,2.98672566714231E-05,1.60961616784334E-02
0.356,-7.82369077205658E-03,3.02163516607834E-05,1.62421278655529E-02
0.358,-7.91381113231182E-03,3.05675421259366E-05,1.63882728666067E-02
0.36,-8.00445303320885E-03,3.09208226099145E-05,1.65345799177885E-02
0.362,-8.09562020003796E-03,3.1276202207664E-05,1.66810601949692E-02
0.364,-8.18730983883142E-03,3.16336663672701E-05,1.68276913464069E-02
0.366,-8.2795238122344E-03,3.19932332786266E-05,1.69744677841663E-02
0.368,-8.37225839495659E-03,3.23548811138608E-05,1.71213839203119E-02
0.37,-8.46551731228828E-03,3.2718620786909E-05,1.72684341669083E-02
0.372,-8.55929870158434E-03,3.30844632117078E-05,1.74156036227942E-02
0.374,-8.65360256284475E-03,3.34523938363418E-05,1.75628904253244E-02
0.376,-8.7484298273921E-03,3.38224126608111E-05,0.017710292711854
0.378,-8.84377956390381E-03,3.41945378750097E-05,1.78577825427055E-02
0.38,-8.93965177237988E-03,3.45687476510648E-05,1.80053766816854E-02
0.382,-9.03604365885258E-03,3.49450456269551E-05,1.81530490517616E-02
0.384,-9.13295801728964E-03,3.53234354406595E-05,1.83007903397083E-02
0.386,-9.23039484769106E-03,3.57179633283522E-05,1.84486173093319E-02
0.388,-9.32835415005684E-03,3.6086501495447E-05,1.85964982956648E-02
0.39,-9.42683033645153E-03,3.64854458894115E-05,1.87444239854813E-02
0.392,-9.52583178877831E-03,3.68579276255332E-05,1.88923999667168E-02
0.394,-9.62535664439201E-03,3.72613067156635E-05,1.90404262393713E-02
0.396,-9.72539931535721E-03,3.76523748855107E-05,1.91884636878967E-02
0.398,-9.82595980167389E-03,3.80455239792354E-05,1.93365290760994E-02
0.4,-9.92704275995493E-03,3.84407685487531E-05,1.94846130907536E-02
