Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,0.0,0.0,0.0
2e-3,-1.02376560562334E-07,-1.40267127335392E-06,9.57979636950768E-07
4e-3,-4.07434100679893E-07,-5.61118167752284E-06,3.83259612135589E-06
6e-3,-9.12062205316033E-07,-1.26262502817553E-05,8.6248510342557E-06
8e-3,-1.61314960678283E-06,-2.24485847866163E-05,1.5335723219323E-05
0.01,-2.50758216679969E-06,-3.50788286596071E-05,2.39661821979098E-05
0.012,-3.59224213752896E-06,-5.0517624913482E-05,3.45171392837074E-05
0.014,-4.86400949739618E-06,-6.87655556248501E-05,4.69895458081737E-05
0.016,-6.31976990916883E-06,-8.98232392501086E-05,6.13842930761166E-05
0.018,-7.95639607531484E-06,-1.13691159640439E-04,7.77022360125557E-05
0.02,-9.77076160779689E-06,-1.40369913424365E-04,9.59442841121927E-05
0.022,-1.17597483040299E-05,-1.69859849847853E-04,1.16111172246747E-04
0.024,-1.39202111313352E-05,-2.02161478227936E-04,1.38203773531131E-04
0.026,-1.62490359798539E-05,-2.37275307881646E-04,1.62222946528345E-04
0.028,-1.87430887308437E-05,-2.75201688054949E-04,1.88169433386065E-04
0.03,-2.13992243516259E-05,-3.15940967993811E-04,2.16043932596222E-04
0.032,-2.42143069044687E-05,-3.5949342418462E-04,2.45847215410322E-04
0.034,-2.7185216822545E-05,-4.05859434977174E-04,2.77579965768382E-04
0.036,-3.03087872453034E-05,-4.55039262305945E-04,3.11242940369993E-04
0.038,-3.35818876919802E-05,-5.07033139001578E-04,3.46836750395596E-04
0.04,-3.70013804058544E-05,-5.61841065064073E-04,3.84362268960103E-04
0.042,-4.05641039833426E-05,-6.19463564362377E-04,4.23819699790329E-04
0.044,-4.42669224867132E-05,-6.7990057868883E-04,4.65209886897355E-04
0.046,-4.81067036162131E-05,-7.43152399081737E-04,5.08533441461623E-04
0.048,-5.20802532264497E-05,-8.09218850918114E-04,5.53790887352079E-04
0.05,-5.61844572075643E-05,-8.7810045806691E-04,6.00982864852995E-04
0.052,-6.0416161431931E-05,-9.49796289205551E-04,6.50109781417996E-04
0.054,-6.47721535642631E-05,-1.02430710103363E-03,7.01172568369657E-04
0.056,-6.92493194947019E-05,-1.1016329517588E-03,7.54170876462013E-04
0.058,-7.38445742172189E-05,-0.001181774539873,8.09105345979333E-04
0.06,-7.85546144470572E-05,-1.26473011914641E-03,8.65977024659514E-04
0.062,-8.33762969705276E-05,-1.3504991075024E-03,9.24786552786827E-04
0.064,-8.83065658854321E-05,-1.43908348400146E-03,9.85533115454018E-04
0.066,-9.33421761146747E-05,-1.53048243373632E-03,1.04821822606027E-03
0.068,-9.84799844445661E-05,-1.62469549104571E-03,1.11284165177494E-03
0.07,-1.03716847661417E-04,-1.72172230668366E-03,1.17940362542868E-03
0.072,-1.09049506136216E-04,-1.82156276423484E-03,1.24790507834405E-03
0.074,-1.14474809379317E-04,-1.92421593237668E-03,1.31834531202912E-03
0.076,-1.19989723316394E-04,-2.02968274243176E-03,1.39072595629841E-03
0.078,-1.25590871903114E-04,-2.13796133175492E-03,1.46504607982934E-03
0.08,-1.31275242893025E-04,-2.24905367940664E-03,1.54130591545254E-03
0.082,-1.37039576657116E-04,-2.36295606009662E-03,1.61950662732124E-03
0.084,-1.42880642670207E-04,-2.47967010363936E-03,1.6996479826048E-03
0.086,-1.48795297718607E-04,-2.59919441305101E-03,1.78173161111772E-03
0.088,-1.5478054410778E-04,-2.72153108380735E-03,1.86575390398502E-03
0.09,-1.60832845722325E-04,-2.84667429514229E-03,1.9517190521583E-03
0.092,-1.66949263075367E-04,-2.97462870366871E-03,2.03962484374642E-03
0.094,-1.73126652953215E-04,-3.1053910497576E-03,2.12947162799537E-03
0.096,-1.79361566551961E-04,-3.23896063491702E-03,2.22125928848982E-03
0.098,-1.85651108040474E-04,-3.37534002028406E-03,2.31498945504427E-03
0.1,-1.91992017789744E-04,-3.51452454924583E-03,2.41066026501358E-03
0.102,-1.98380905203521E-04,-0.003656514454633,2.50827241688967E-03
0.104,-2.04814714379609E-04,-3.80130973644555E-03,2.60782637633383E-03
0.106,-2.11290491279215E-04,-3.94891202449799E-03,2.70932051353157E-03
0.108,-2.1780445240438E-04,-4.09931177273393E-03,2.81275808811188E-03
0.11,-2.24353891098872E-04,-4.25251852720976E-03,2.91813653893769E-03
0.112,-2.3093560594134E-04,-4.40852530300617E-03,3.02545540034771E-03
0.114,-2.37546133575961E-04,-4.56733489409089E-03,3.13471537083387E-03
0.116,-2.44182447204366E-04,-4.7289440408349E-03,3.24591691605747E-03
0.118,-2.50841432716697E-04,-4.89335041493177E-03,3.35905654355884E-03
