Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.16,4.08357614651322E-03,1.82733114343137E-03,-1.50551844853908E-04
0.162,4.18580044060946E-03,1.89631653483957E-03,-1.54356093844399E-04
0.164,4.2892680503428E-03,1.96701311506331E-03,-1.58207956701517E-04
0.166,4.39397804439068E-03,2.03944346867502E-03,-1.62105541676283E-04
0.168,4.49992949143052E-03,2.11362401023507E-03,-1.6605258861091E-04
0.17,4.60712052881718E-03,2.18957755714655E-03,-1.70047176652588E-04
0.172,4.71555255353451E-03,2.26732343435287E-03,-1.74091444932856E-04
0.174,4.8252223059535E-03,2.34688562341034E-03,-1.78181275259703E-04
0.176,4.93612792342901E-03,2.42828484624624E-03,-1.82316507562064E-04
0.178,5.04826894029975E-03,2.51153716817498E-03,-1.86501361895353E-04
0.18,5.16164721921086E-03,2.5966668035835E-03,-1.90733830095269E-04
0.182,5.27625856921077E-03,2.68369354307652E-03,-1.95013824850321E-04
0.184,5.39210252463818E-03,2.77263554744422E-03,-1.99343674466945E-04
0.186,5.50917722284794E-03,2.86352052353323E-03,-2.03716394025832E-04
0.188,5.6274845264852E-03,2.95635988004506E-03,-2.0814138406422E-04
0.19,5.74701931327581E-03,3.05118039250374E-03,-2.126114704879E-04
0.192,5.8677801862359E-03,3.14800092019141E-03,-2.1712901070714E-04
0.194,5.98976947367191E-03,3.24684544466436E-03,-2.21691545448266E-04
0.196,6.11298391595483E-03,3.34772770293057E-03,-2.2630400781054E-04
0.198,6.23742444440722E-03,3.45067330636084E-03,-2.3096396762412E-04
0.2,6.36308547109365E-03,3.55569971725345E-03,-2.35671279369853E-04
0.202,6.48996978998184E-03,3.66282905451953E-03,-2.40426074014977E-04
0.204,6.61807274445891E-03,3.77207738347352E-03,-2.45230970904231E-04
0.206,6.74739805981517E-03,3.88347450643778E-03,-2.50080658588558E-04
0.208,6.87793781980872E-03,3.99703439325094E-03,-2.54977581789717E-04
0.21,7.00969574972987E-03,4.11277962848544E-03,-2.5992194423452E-04
0.212,7.14266998693347E-03,4.23073070123792E-03,-2.64913658611476E-04
0.214,7.27685494348407E-03,4.35090530663729E-03,-2.69952579401433E-04
0.216,7.41225527599454E-03,4.47332626208663E-03,-2.75038939435035E-04
