Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-6.99836537241936E-02,-6.67889486066997E-04,5.25762178003788E-02
0.1,-7.17775076627731E-02,-6.86856277752668E-04,4.41478528082371E-02
0.2,-7.29397088289261E-02,-7.01326585840434E-04,3.59500199556351E-02
0.3,-7.34793245792389E-02,-7.10245571099222E-04,2.80719976872206E-02
0.4,-7.34119042754173E-02,-7.13591987732798E-04,2.06000208854675E-02
0.5,-7.27593600749969E-02,-7.10684864316136E-04,1.36353550478816E-02
0.6,-7.15498998761177E-02,-7.01196608133614E-04,7.23966397345066E-03
0.7,-6.98175504803658E-02,-6.84918602928519E-04,1.46695121657103E-03
0.8,-6.76015540957451E-02,-6.62069942336529E-04,-3.60287679359317E-03
0.9,-6.49460032582283E-02,-6.31791248451918E-04,-7.91727285832167E-03
1,-6.18995055556297E-02,-5.95451099798083E-04,-1.14248618483543E-02
1.1,-5.85140995681286E-02,-5.52141224034131E-04,-1.41056766733527E-02
1.2,-5.48449009656906E-02,-5.0342216854915E-04,-1.59112382680178E-02
1.3,-5.09494915604591E-02,-4.48641483671963E-04,-1.68283078819513E-02
1.4,-4.68869432806969E-02,-3.88949207263067E-04,-1.68363079428673E-02
1.5,-4.27172742784023E-02,-3.24989785440266E-04,-0.015928877517581
1.6,-3.85007411241531E-02,-2.57458741543815E-04,-1.41095947474241E-02
1.7,-3.42971347272396E-02,-1.87101162737235E-04,-1.13930879160762E-02
1.8,-3.01648657768965E-02,-1.14530528662726E-04,-7.79514200985432E-03
1.9,-2.61604096740484E-02,-4.07745428674389E-05,-3.40233300812542E-03
2,-2.23377421498299E-02,3.33321331709158E-05,1.79397943429649E-03
2.1,-1.87472309917212E-02,1.06938736280426E-04,7.70939746871591E-03
2.2,-1.54354525730014E-02,1.79265611222945E-04,1.42532708123326E-02
2.3,-1.24443806707859E-02,2.49341625021771E-04,2.13631447404623E-02
2.4,-9.81059391051531E-03,3.16353718517348E-04,2.89270747452974E-02
2.5,-7.5649986974895E-03,3.80329031031579E-04,3.68210785090923E-02
2.6,-5.7323588989675E-03,4.38722257968038E-04,4.49034310877323E-02
2.7,-4.33068443089724E-03,4.91778831928968E-04,5.31201511621475E-02
2.8,-3.37078468874097E-03,5.38919877726585E-04,6.12796247005463E-02
2.9,-2.85620358772576E-03,5.7951983762905E-04,6.92696198821068E-02
3,-2.78325355611742E-03,6.13245356362313E-04,0.076907567679882
3.1,-3.14015080220997E-03,6.39988458715379E-04,8.41398313641548E-02
3.2,-3.90788773074746E-03,6.59575860481709E-04,0.090747132897377
3.3,-5.05980895832181E-03,6.72033405862749E-04,0.096599668264389
3.4,-6.5623358823359E-03,6.77569711115211E-04,0.10155513882637
3.5,-8.3748260512948E-03,6.76573195960373E-04,0.105539821088314
3.6,-1.04504860937595E-02,6.69517728965729E-04,0.108354642987251
3.7,-1.27367367967963E-02,6.57454889733344E-04,0.109901055693626
