Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,5.54614961147308E-02,-0.592129051685333,-0.361027806997299
0.1,4.99365217983723E-02,-0.570625841617584,-0.352731704711914
0.2,4.41178418695927E-02,-0.545780062675476,-0.341209441423416
0.3,3.80683839321136E-02,-0.517950713634491,-0.326583057641983
0.4,3.18492092192173E-02,-0.487484574317932,-0.308915287256241
0.5,2.55188327282667E-02,-0.454712688922882,-0.28825244307518
0.6,1.91332530230284E-02,-0.419948160648346,-0.264807552099228
0.7,1.27453599125147E-02,-0.383483469486237,-0.238597378134728
0.8,6.40462152659893E-03,-0.345588445663452,-0.209887489676476
0.9,1.58676673891023E-04,-0.306516706943512,-0.178938612341881
1,-5.94920106232166E-03,-0.266498446464539,-0.14588226377964
1.1,-1.18527002632618E-02,-0.225823774933815,-0.11096365749836
1.2,-1.75260566174984E-02,-0.184662073850632,-7.46409147977829E-02
1.3,-2.29361560195684E-02,-0.143200442194939,-0.037096556276083
1.4,-0.028051171451807,-0.101624511182308,1.2273290194571E-03
1.5,-3.28432433307171E-02,-6.01136311888695E-02,3.99672910571098E-02
1.6,-3.72882932424545E-02,-1.88438352197409E-02,7.87208899855614E-02
1.7,-4.13663424551487E-02,2.20115464180708E-02,0.117120653390884
1.8,-4.50617447495461E-02,6.22783452272415E-02,0.154684603214264
1.9,-4.83632683753967E-02,0.101784624159336,0.19107660651207
2,-5.12642711400986E-02,0.140357464551926,0.225835159420967
2.1,-5.37625886499882E-02,0.177825212478638,0.258608907461166
2.2,-5.58608397841454E-02,0.214018628001213,0.288983702659607
2.3,-0.057565912604332,0.248772516846657,0.316672921180725
2.4,-5.88892884552479E-02,0.281926423311234,0.341304302215576
2.5,-5.98462000489235E-02,0.313327580690384,0.362730234861374
2.6,-6.04560412466526E-02,0.342831343412399,0.380594313144684
2.7,-6.07407130300999E-02,0.370301246643066,0.394815474748611
2.8,-6.07253015041351E-02,0.39561465382576,0.405194640159607
2.9,-6.04368858039379E-02,0.41865536570549,0.411684840917587
3,-5.99037781357765E-02,0.439321041107178,0.414259314537048
3.1,-5.91552332043648E-02,0.45751765370369,0.412851125001907
3.2,-5.82211501896381E-02,0.473165512084961,0.407618641853333
3.3,-5.71307577192783E-02,0.486193031072617,0.398600816726685
3.4,-0.055912509560585,0.49653884768486,0.385959297418594
3.5,-5.45938089489937E-02,0.504151463508606,0.369835406541824
3.6,-5.32003939151764E-02,0.508990705013275,0.350466996431351
3.7,-5.17560541629791E-02,0.511027991771698,0.328050374984741
3.8,-0.050282571464777,0.510243713855743,0.302892774343491
3.9,-4.87994141876698E-02,0.506634056568146,0.275207489728928
4,-4.73238863050938E-02,0.500206530094147,0.245337411761284
4.1,-0.045870378613472,0.490983575582504,0.21362778544426
4.2,-0.044451579451561,0.479006946086884,0.180334985256195
4.3,-0.043077114969492,0.464332580566406,0.145841509103775
4.4,-4.17545475065708E-02,0.447037816047668,0.110501512885094
4.5,-0.040488425642252,0.427214711904526,7.45736807584763E-02
4.6,-3.92817407846451E-02,0.404979676008224,3.85085083544254E-02
4.7,-3.81337627768517E-02,0.380461812019348,0.002531559439376
4.8,-3.70419584214687E-02,0.353811323642731,-3.29617410898209E-02
4.9,-3.60012538731098E-02,0.325192421674728,-6.76701366901398E-02
5,-3.50036770105362E-02,0.294781565666199,-0.101328991353512
5.1,-3.40385586023331E-02,0.262766420841217,-0.1336520165205
5.2,-0.03309266269207,0.229338735342026,-0.164374202489853
5.3,-3.21510806679726E-02,0.194700628519058,-0.193225249648094
5.4,-0.03119589202106,0.159048095345497,-0.220059245824814
5.5,-3.02074886858463E-02,0.122579216957092,-0.244706958532333
5.6,-2.91647911071777E-02,8.54848548769951E-02,-0.267006784677505
5.7,-2.80448663979769E-02,4.79481406509876E-02,-0.286801606416702
5.8,-2.68246736377478E-02,1.01449452340603E-02,-0.30405730009079
5.9,-2.54803206771612E-02,-2.77616176754236E-02,-0.318740367889404
6,-2.39883605390787E-02,-0.065618097782135,-0.33075624704361
6.1,-2.23257038742304E-02,-0.103281483054161,-0.340184658765793
6.2,-2.04708147794008E-02,-0.140617489814758,-0.346955478191376
6.3,-1.84035133570433E-02,-0.177503436803818,-0.351255774497986
6.4,-1.61058660596609E-02,-0.213819041848183,-0.353041082620621
