Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-7.08647212013602E-03,-1.17819981824141E-04,0.415638297796249
0.1,6.61609810777009E-04,-1.27109611639753E-04,0.435288429260254
0.2,8.27344320714474E-03,-1.34652567794546E-04,0.451927840709686
0.3,1.56749188899994E-02,-1.405543735018E-04,0.465363413095474
0.4,2.27939244359732E-02,-1.44335077493452E-04,0.475427538156509
0.5,2.95611321926117E-02,-1.46073041833006E-04,0.481968730688095
0.6,3.59112285077572E-02,-1.45560858072713E-04,0.48489835858345
0.7,0.041784081608057,-1.43012715852819E-04,0.484127342700958
0.8,4.71254028379917E-02,-1.38212562887929E-04,0.47961887717247
0.9,5.18873147666454E-02,-1.31182750919834E-04,0.471369564533234
1,5.60295768082142E-02,-1.22177545563318E-04,0.459413945674896
1.1,5.95193691551685E-02,-1.11270041088574E-04,0.443850308656693
1.2,6.23319707810879E-02,-9.83979916782118E-05,0.424798429012299
1.3,6.44507184624672E-02,-8.38981941342354E-05,0.402388632297516
1.4,6.58672004938126E-02,-6.79646909702569E-05,0.376816689968109
1.5,6.65808022022247E-02,-5.05788448208477E-05,0.348321616649628
1.6,6.65985643863678E-02,-3.21988081850577E-05,0.317136347293854
1.7,6.59351199865341E-02,-1.31865290313726E-05,0.283551543951035
1.8,6.46118745207787E-02,5.9150352171855E-06,0.247835069894791
1.9,6.26569390296936E-02,2.51017281698296E-05,0.210311368107796
2,6.01044520735741E-02,4.37482849520165E-05,0.171315282583237
2.1,5.69944269955158E-02,6.11242721788585E-05,0.13116791844368
2.2,5.33721894025803E-02,7.69433536333963E-05,9.02428701519966E-02
2.3,4.92878593504429E-02,9.04796834220178E-05,4.88456636667252E-02
2.4,4.47962880134583E-02,1.01280769740697E-04,7.37127242609858E-03
2.5,3.99562604725361E-02,1.08984837424941E-04,-3.38432900607586E-02
2.6,0.034830380231142,1.13029091153294E-04,-7.44157731533051E-02
2.7,2.94843185693026E-02,1.13004345621448E-04,-0.114003673195839
2.8,2.39865723997355E-02,1.08869920950383E-04,-0.152258083224297
2.9,1.84074100106955E-02,1.00403471151367E-04,-0.188839584589005
3,0.012818580493331,8.763512596488E-05,-0.223413109779358
3.1,7.29215191677213E-03,7.07134458934888E-05,-0.255664527416229
3.2,1.89989991486073E-03,5.0006066885544E-05,-0.285306811332703
3.3,-3.28779011033475E-03,2.59484022535617E-05,-0.312051087617874
3.4,-8.20312742143869E-03,-8.94549089025531E-07,-0.33566603064537
3.5,-1.27815036103129E-02,-2.97394653898664E-05,-0.355925917625427
3.6,-1.69630404561758E-02,-5.98542137595359E-05,-0.372659087181091
3.7,-2.06932686269283E-02,-9.02996471268125E-05,-0.385746240615845
3.8,-2.39241570234299E-02,-1.20316464744974E-04,-0.395080536603928
3.9,-0.026614673435688,-1.48873106809333E-04,-0.400588840246201
4,-2.87318248301744E-02,-1.75175940967165E-04,-0.402302861213684
4.1,-3.02508231252432E-02,-1.98383408132941E-04,-0.40027391910553
4.2,-3.11554074287415E-02,-2.17824795981869E-04,-0.394541591405869
4.3,-0.031438123434782,-2.3299346503336E-04,-0.385277211666107
4.4,-3.10998633503914E-02,-2.4353974731639E-04,-0.372623294591904
4.5,-3.01500800997019E-02,-2.48820491833612E-04,-0.356808692216873
4.6,-2.86060832440853E-02,-2.49040953349322E-04,-0.338055074214935
4.7,-2.64925174415112E-02,-2.43962305830792E-04,-0.316618025302887
4.8,-2.38409526646137E-02,-2.33929080422968E-04,-0.292799234390259
4.9,-2.06891521811485E-02,-2.18915331060998E-04,-0.266889631748199
5,-1.70801095664501E-02,-1.99243484530598E-04,-0.239201903343201
5.1,-1.30618736147881E-02,-1.75819819560274E-04,-0.210047423839569
5.2,-8.68655741214752E-03,-1.48415070725605E-04,-0.179768323898315
5.3,-4.00989688932896E-03,-1.18300515168812E-04,-0.148674190044403
5.4,9.09404829144478E-04,-8.55745092849247E-05,-0.117080047726631
5.5,6.01003551855683E-03,-5.08646116941236E-05,-8.53212550282478E-02
5.6,1.12287672236562E-02,-1.52738557517296E-05,-5.36789335310459E-02
5.7,1.65007635951042E-02,2.10388479899848E-05,-2.24711950868368E-02
5.8,2.17599458992481E-02,5.7423905673204E-05,8.00289213657379E-03
