时间t,纵向位移X,横向位移Y,垂向位移Z,横倾角Phi,纵倾角Theta,首向角Psi,船型,浪级,浪向角,吃水,航速
0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.013,0.006,0.11,0.887,-0.024,0,3,30,6,0
1,0.004,0.016,0.007,0.054,1.199,-0.033,0,3,30,6,0
1.5,0.01,0.016,0.008,-0.113,1.411,-0.04,0,3,30,6,0
2,0.013,0.013,0.008,-0.382,1.508,-0.046,0,3,30,6,0
2.5,0.015,0.009,0.007,-0.695,1.488,-0.048,0,3,30,6,0
3,0.014,0.004,0.006,-0.904,1.371,-0.047,0,3,30,6,0
3.5,0.011,0,0.005,-0.95,1.169,-0.042,0,3,30,6,0
4,0.008,-0.002,0.004,-0.827,0.895,-0.033,0,3,30,6,0
4.5,0.004,-0.002,0.002,-0.636,0.556,-0.022,0,3,30,6,0
5,0,0,0,-0.477,0.164,-0.009,0,3,30,6,0
5.5,-0.003,0.005,-0.002,-0.351,-0.248,0.003,0,3,30,6,0
6,-0.003,0.01,-0.004,-0.253,-0.651,0.015,0,3,30,6,0
6.5,0,0.015,-0.006,-0.178,-1.014,0.026,0,3,30,6,0
7,0.005,0.018,-0.008,-0.13,-1.317,0.035,0,3,30,6,0
7.5,0.011,0.019,-0.01,-0.128,-1.543,0.042,0,3,30,6,0
8,0.017,0.017,-0.01,-0.172,-1.681,0.045,0,3,30,6,0
8.5,0.022,0.013,-0.011,-0.244,-1.722,0.045,0,3,30,6,0
9,0.023,0.006,-0.01,-0.225,-1.645,0.043,0,3,30,6,0
9.5,0.02,0,-0.009,-0.03,-1.445,0.04,0,3,30,6,0
10,0.013,-0.004,-0.006,0.379,-1.121,0.035,0,3,30,6,0
10.5,0.005,-0.003,-0.003,0.755,-0.731,0.028,0,3,30,6,0
11,0,0,0,0.964,-0.305,0.018,0,3,30,6,0
11.5,-0.004,0.006,0.003,1.01,0.138,0.006,0,3,30,6,0
12,-0.003,0.013,0.006,0.979,0.585,-0.006,0,3,30,6,0
12.5,0,0.019,0.008,0.941,1.018,-0.019,0,3,30,6,0
13,0.006,0.023,0.01,0.849,1.398,-0.03,0,3,30,6,0
13.5,0.014,0.023,0.012,0.692,1.699,-0.04,0,3,30,6,0
14,0.021,0.021,0.013,0.547,1.913,-0.048,0,3,30,6,0
14.5,0.026,0.015,0.013,0.372,2.014,-0.052,0,3,30,6,0
15,0.028,0.007,0.012,0.181,1.997,-0.054,0,3,30,6,0
15.5,0.026,0,0.011,0.062,1.875,-0.051,0,3,30,6,0
16,0.022,-0.006,0.01,-0.021,1.644,-0.046,0,3,30,6,0
16.5,0.015,-0.009,0.008,-0.104,1.315,-0.038,0,3,30,6,0
17,0.009,-0.009,0.005,-0.093,0.927,-0.027,0,3,30,6,0
17.5,0.003,-0.006,0.003,-0.061,0.488,-0.014,0,3,30,6,0
18,0,-0.001,0,0.072,0.046,-0.001,0,3,30,6,0
18.5,0,0.004,-0.002,0.3,-0.369,0.013,0,3,30,6,0
19,0.002,0.007,-0.003,0.555,-0.736,0.026,0,3,30,6,0
19.5,0.005,0.009,-0.004,0.783,-1.035,0.037,0,3,30,6,0
20,0.009,0.009,-0.005,0.953,-1.245,0.044,0,3,30,6,0
20.5,0.012,0.007,-0.006,1.037,-1.355,0.048,0,3,30,6,0
21,0.013,0.004,-0.006,1.016,-1.363,0.048,0,3,30,6,0
21.5,0.014,0,-0.006,0.83,-1.282,0.044,0,3,30,6,0
22,0.012,-0.003,-0.005,0.587,-1.106,0.037,0,3,30,6,0
22.5,0.009,-0.005,-0.004,0.368,-0.844,0.027,0,3,30,6,0
23,0.005,-0.005,-0.003,0.127,-0.531,0.016,0,3,30,6,0
23.5,0.001,-0.002,-0.001,-0.038,-0.175,0.004,0,3,30,6,0
24,-0.001,0.002,0.001,-0.088,0.2,-0.006,0,3,30,6,0
24.5,0,0.006,0.003,-0.24,0.527,-0.017,0,3,30,6,0
25,0.002,0.008,0.004,-0.499,0.789,-0.027,0,3,30,6,0
25.5,0.005,0.008,0.004,-0.825,0.965,-0.035,0,3,30,6,0
26,0.006,0.006,0.004,-1.129,1.054,-0.041,0,3,30,6,0
26.5,0.006,0.004,0.003,-1.42,1.035,-0.043,0,3,30,6,0
27,0.004,0.001,0.002,-1.676,0.911,-0.042,0,3,30,6,0
27.5,0,0,0,-1.864,0.687,-0.038,0,3,30,6,0
28,-0.004,0.001,-0.002,-1.912,0.388,-0.03,0,3,30,6,0
28.5,-0.008,0.004,-0.004,-1.814,0.033,-0.019,0,3,30,6,0
29,-0.009,0.009,-0.006,-1.576,-0.351,-0.006,0,3,30,6,0
29.5,-0.008,0.014,-0.007,-1.247,-0.739,0.008,0,3,30,6,0
30,-0.005,0.019,-0.008,-0.855,-1.1,0.022,0,3,30,6,0
30.5,0,0.022,-0.009,-0.426,-1.402,0.035,0,3,30,6,0
31,0.006,0.022,-0.01,-0.028,-1.627,0.045,0,3,30,6,0
31.5,0.012,0.02,-0.01,0.263,-1.762,0.052,0,3,30,6,0
32,0.016,0.016,-0.01,0.487,-1.782,0.054,0,3,30,6,0
32.5,0.018,0.01,-0.009,0.634,-1.688,0.053,0,3,30,6,0
33,0.017,0.004,-0.007,0.669,-1.488,0.048,0,3,30,6,0
33.5,0.014,0,-0.006,0.576,-1.2,0.039,0,3,30,6,0
34,0.009,-0.002,-0.004,0.447,-0.83,0.028,0,3,30,6,0
34.5,0.003,-0.002,-0.002,0.368,-0.394,0.015,0,3,30,6,0
35,-0.002,0.002,0.001,0.325,0.073,0.001,0,3,30,6,0
35.5,-0.004,0.008,0.004,0.298,0.538,-0.012,0,3,30,6,0
36,-0.004,0.015,0.007,0.299,0.973,-0.024,0,3,30,6,0
36.5,0,0.019,0.008,0.202,1.329,-0.035,0,3,30,6,0
37,0.006,0.021,0.009,-0.011,1.581,-0.044,0,3,30,6,0
37.5,0.011,0.019,0.009,-0.37,1.701,-0.051,0,3,30,6,0
38,0.014,0.014,0.008,-0.79,1.69,-0.055,0,3,30,6,0
38.5,0.013,0.008,0.007,-1.232,1.54,-0.055,0,3,30,6,0
39,0.009,0.002,0.004,-1.607,1.267,-0.052,0,3,30,6,0
39.5,0.003,0,0.001,-1.865,0.886,-0.044,0,3,30,6,0
40,-0.004,0.001,-0.002,-1.961,0.422,-0.032,0,3,30,6,0
40.5,-0.009,0.005,-0.005,-1.835,-0.083,-0.016,0,3,30,6,0
41,-0.011,0.011,-0.007,-1.496,-0.596,0.001,0,3,30,6,0
41.5,-0.01,0.018,-0.009,-1.04,-1.087,0.02,0,3,30,6,0
42,-0.006,0.024,-0.011,-0.61,-1.537,0.036,0,3,30,6,0
42.5,0,0.028,-0.012,-0.291,-1.917,0.05,0,3,30,6,0
43,0.008,0.03,-0.014,-0.133,-2.203,0.06,0,3,30,6,0
43.5,0.017,0.029,-0.014,-0.099,-2.37,0.065,0,3,30,6,0
44,0.024,0.024,-0.015,-0.169,-2.406,0.065,0,3,30,6,0
44.5,0.029,0.017,-0.015,-0.323,-2.313,0.061,0,3,30,6,0
45,0.03,0.008,-0.014,-0.491,-2.093,0.053,0,3,30,6,0
45.5,0.028,0,-0.012,-0.666,-1.767,0.042,0,3,30,6,0
46,0.023,-0.006,-0.01,-0.854,-1.367,0.029,0,3,30,6,0
46.5,0.016,-0.009,-0.008,-1.041,-0.92,0.015,0,3,30,6,0
47,0.009,-0.009,-0.006,-1.239,-0.464,0,0,3,30,6,0
47.5,0.004,-0.007,-0.003,-1.469,-0.039,-0.014,0,3,30,6,0
48,0.001,-0.005,-0.002,-1.779,0.313,-0.027,0,3,30,6,0
48.5,0,-0.003,-0.001,-2.183,0.561,-0.038,0,3,30,6,0
49,-0.001,-0.004,-0.002,-2.647,0.683,-0.046,0,3,30,6,0
49.5,-0.003,-0.005,-0.003,-3.058,0.68,-0.05,0,3,30,6,0
50,-0.006,-0.006,-0.004,-3.299,0.562,-0.049,0,3,30,6,0
50.5,-0.01,-0.006,-0.005,-3.292,0.344,-0.043,0,3,30,6,0
51,-0.015,-0.004,-0.007,-3.109,0.03,-0.032,0,3,30,6,0
51.5,-0.019,0,-0.008,-2.715,-0.341,-0.018,0,3,30,6,0
52,-0.021,0.006,-0.01,-2.269,-0.763,-0.002,0,3,30,6,0
52.5,-0.023,0.013,-0.011,-1.905,-1.213,0.014,0,3,30,6,0
53,-0.022,0.022,-0.014,-1.656,-1.656,0.029,0,3,30,6,0
53.5,-0.018,0.031,-0.016,-1.466,-2.046,0.042,0,3,30,6,0
54,-0.01,0.038,-0.017,-1.315,-2.353,0.052,0,3,30,6,0
54.5,0,0.042,-0.018,-1.189,-2.553,0.059,0,3,30,6,0
55,0.011,0.04,-0.018,-1.058,-2.627,0.062,0,3,30,6,0
55.5,0.02,0.035,-0.017,-0.884,-2.561,0.062,0,3,30,6,0
56,0.026,0.026,-0.016,-0.726,-2.371,0.058,0,3,30,6,0
