Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
7.8,3.54683288605884E-05,5.67091701668687E-05,-5.5549757234985E-05
7.9,4.32525303040165E-05,5.25040850334335E-05,-5.12828373757657E-05
8,4.18043237004895E-05,4.78937217849307E-05,-4.64958357042633E-05
8.1,3.10929171973839E-05,4.36049740528688E-05,-4.19124626205303E-05
8.2,1.23957615869585E-05,4.03048979933374E-05,-3.82222024200018E-05
8.3,-1.1906175132026E-05,3.84969098377042E-05,-3.59740151907317E-05
8.4,-3.87094587495085E-05,3.84448539989535E-05,-3.54921976395417E-05
8.5,-6.46766493446194E-05,4.0136063034879E-05,-3.6829624150414E-05
8.6,-8.67678172653541E-05,4.32898377766833E-05,-3.97637450078037E-05
8.7,-1.02704121673014E-04,4.74099033453967E-05,-4.38384377048351E-05
8.8,-1.11313762317877E-04,5.18706074217334E-05,-4.84422416775487E-05
8.9,-1.12682733742986E-04,5.60242442588788E-05,-5.29124699824024E-05
9,-1.08101485238876E-04,5.93095937801991E-05,-5.66452617931645E-05
9.1,-9.98092727968469E-05,6.13446391071193E-05,-5.91949028603267E-05
9.2,-9.05857014004141E-05,6.19875791016966E-05,-6.03457629040349E-05
9.3,-8.32518780953251E-05,6.13565862295218E-05,-6.01442734478042E-05
9.4,-8.0171819718089E-05,5.98052065470256E-05,-5.88860275456682E-05
9.5,-8.28353004180826E-05,5.78569415665697E-05,-5.70606571272947E-05
9.6,-9.15905402507633E-05,5.61115884920582E-05,-5.52628298464697E-05
9.7,-1.05570783489384E-04,5.51377015653998E-05,-5.40854343853425E-05
9.8,-1.22834695503116E-04,5.53707905055489E-05,-5.40123874088749E-05
9.9,-1.40688600367866E-04,5.70329757465515E-05,-5.53290701645892E-05
10,-1.5614039148204E-04,6.00891871727072E-05,-5.80667619942687E-05
10.1,-1.66415105923079E-04,6.42463273834437E-05,-6.1989099776838E-05
10.2,-1.69433478731662E-04,6.89946464262903E-05,-6.66239066049457E-05
10.3,-1.64190249051899E-04,7.36884321668185E-05,-7.13363988325E-05
10.4,-1.50951644172892E-04,7.76473971200176E-05,-7.54295033402741E-05
10.5,-1.31250228150748E-04,8.02663053036667E-05,-7.8257275163196E-05
10.6,-1.07671206933446E-04,8.11128775239922E-05,-7.93308790889569E-05
10.7,-8.34642123663798E-05,7.99981062300503E-05,-7.84005605964921E-05
10.8,-6.2045241065789E-05,7.70070619182661E-05,-7.54986103856936E-05
10.9,-4.64711083623115E-05,7.24872661521658E-05,-7.09381856722757E-05
11,-3.89637607440818E-05,6.69927540002391E-05,-6.5265667217318E-05
11.1,-4.05736318498384E-05,6.11974246567115E-05,-5.9175585192861E-05
11.2,-5.10289355588611E-05,5.57889543415513E-05,-5.34022437932435E-05
11.3,-6.87980718794279E-05,5.13617524120491E-05,-4.86044627905358E-05
11.4,-9.13512849365361E-05,4.83277035527863E-05,-4.52650783699937E-05
11.5,-1.15581911813933E-04,4.68551188532729E-05,-4.36170994362328E-05
11.6,-1.38316376251169E-04,4.68515281681903E-05,-4.36144764535129E-05
11.7,-1.56823807628825E-04,4.79871305287816E-05,-4.49465878773481E-05
11.8,-1.69249964528717E-04,4.97580294904765E-05,-4.70974482595921E-05
11.9,-1.74896078533493E-04,5.15773244842421E-05,-4.94378145958763E-05
12,-1.74302724190056E-04,5.28782038600184E-05,-5.13359191245399E-05
12.1,-1.69125822139904E-04,5.32121521246154E-05,-5.22653317602817E-05
12.2,-1.61820702487603E-04,5.23265262017958E-05,-5.18969136464875E-05
12.3,-1.55194356921129E-04,5.02071998198517E-05,-5.01532995258458E-05
12.4,-1.51902393554337E-04,4.70805971417576E-05,-4.72226784040686E-05
12.5,-1.53966699144803E-04,4.33744098700117E-05,-4.35243237006944E-05
12.6,-1.62405121955089E-04,3.96432988054585E-05,-3.96360410377383E-05
12.7,-1.77027977770194E-04,3.64727457053959E-05,-3.61931415682193E-05
12.8,-1.96444278117269E-04,3.4377291740384E-05,-3.37761994160246E-05
12.9,-2.18268804019317E-04,3.37087185471319E-05,-3.28083369822707E-05
13,-2.39502915064804E-04,3.45916814694647E-05,-3.34765391016845E-05
13.1,-2.57023522863165E-04,3.68952496501151E-05,-3.56932505383156E-05
13.2,-2.68102623522282E-04,4.02480545744766E-05,-3.91028079320677E-05
13.3,-2.70865944912657E-04,4.40912881458644E-05,-4.31328626291361E-05
13.4,-2.64619651716202E-04,4.77637295261957E-05,-4.70828126708511E-05
13.5,-2.49988312134519E-04,5.06039068568498E-05,-5.02336406498216E-05
13.6,-2.28840828640386E-04,5.205271372688E-05,-5.19623317813966E-05
13.7,-2.04012656467967E-04,5.17399348609615E-05,-5.18407287017908E-05
13.8,-1.7887624562718E-04,4.95406457048375E-05,-4.97039582114667E-05
13.9,-1.56819995027035E-04,4.55930603493471E-05,-4.56760535598733E-05
14,-1.40729418490082E-04,4.02737023250666E-05,-4.01486722694244E-05
14.1,-1.32548288092948E-04,3.41362137987744E-05,-3.37174642481841E-05
14.2,-1.32996457978152E-04,2.78217648883583E-05,-2.70854143309407E-05
14.3,-1.41483527841046E-04,2.19572593778139E-05,-2.09499103220878E-05
14.4,-1.56238689669408E-04,1.70584298757603E-05,-1.58926286530914E-05
14.5,-1.74626693478785E-04,1.34514748424408E-05,-1.22892470244551E-05
14.6,-1.93604108062573E-04,1.12275729406974E-05,-1.02543017419521E-05
14.7,-2.10234298720025E-04,1.02374879134004E-05,-9.63100319495425E-06
14.8,-2.22175192902796E-04,1.01252408057917E-05,-1.00255401775939E-05
