Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-7.5823649240192E-05,-4.16361035604496E-06,-2.51042911258992E-06
0.1,-7.59622053010389E-05,-9.27752466850507E-07,6.35412106930744E-07
0.2,-7.0368085289374E-05,1.90320952242473E-06,3.4156678339059E-06
0.3,-6.04762026341632E-05,3.86823558073957E-06,5.35802246304229E-06
0.4,-4.86178360006306E-05,4.676136541093E-06,6.16196484770626E-06
0.5,-3.76066964236088E-05,4.25939333581482E-06,5.75465537622222E-06
0.6,-3.02427943097427E-05,2.79017808679782E-06,4.30767204306903E-06
0.7,-2.88115988951176E-05,6.54652581033588E-07,2.21155801227724E-06
0.8,-3.46675042237621E-05,-1.60747242716752E-06,1.36630653457814E-08
0.9,-4.79689006169792E-05,-3.3914293453563E-06,-1.67256496297341E-06
1,-6.76115014357492E-05,-4.1268503991887E-06,-2.27006330533186E-06
1.1,-9.13720796233974E-05,-3.3733333566488E-06,-1.33612104491476E-06
1.2,-1.16239905764814E-04,-8.95804305400816E-07,1.35970844894473E-06
1.3,-1.38883508043364E-04,3.29265617438068E-06,5.79182233195752E-06
1.4,-1.56174850417301E-04,8.92744992597727E-06,1.16759501906927E-05
1.5,-1.6568620048929E-04,1.55300731421448E-05,1.85078351933043E-05
1.6,-1.66078491020016E-04,2.24792620429071E-05,2.56380608334439E-05
1.7,-1.57315851538442E-04,2.91053420369281E-05,3.23701606248505E-05
1.8,-1.40673364512622E-04,3.47925742971711E-05,3.80662859242875E-05
1.9,-1.1853470641654E-04,3.90713576052804E-05,4.22438606619835E-05
2,-9.40130630624481E-05,4.16880429838784E-05,4.46472222392913E-05
2.1,-7.04587873769924E-05,4.26387850893661E-05,4.52822278020903E-05
2.2,-5.09344063175377E-05,4.21635340899229E-05,4.4409665861167E-05
2.3,-3.77400283468887E-05,4.07007137255277E-05,4.2497234971961E-05
2.4,-3.2071224268293E-05,3.88111766369548E-05,4.01394499931484E-05
2.5,-3.3860509574879E-05,3.70826564903837E-05,3.79581579181831E-05
2.6,-4.18296003772411E-05,3.6032131902175E-05,3.64999468729366E-05
2.7,-5.37416817678604E-05,3.6020534025738E-05,3.6147434002487E-05
2.8,-6.68096472509205E-05,3.71957357856445E-05,3.70599918824155E-05
2.9,-7.81923736212775E-05,3.94707931263838E-05,3.91514804505277E-05
3,-8.5496183601208E-05,4.25433318014257E-05,4.21107397414744E-05
3.1,-8.71961456141435E-05,4.59507937193848E-05,4.54593900940381E-05
3.2,-8.29053751658648E-05,4.91529681312386E-05,4.86383360112086E-05
3.3,-7.34502173145302E-05,5.16285581397824E-05,5.11081925651524E-05
3.4,-6.07378024142236E-05,5.29686913068872E-05,5.2446557674557E-05
3.5,-4.74342014058493E-05,5.29522476426791E-05,5.24254865013063E-05
3.6,-3.65119376510847E-05,5.1590490329545E-05,5.10575155203696E-05
3.7,-3.07371919916477E-05,4.91323953610845E-05,4.85997225041501E-05
3.8,-3.21874831570312E-05,4.60309747722931E-05,4.55184053862467E-05
3.9,-4.18758754676674E-05,4.2874973587459E-05,4.24165555159561E-05
4,-5.95473065914121E-05,4.02960540668573E-05,3.99376658606343E-05
4.1,-8.36822000565007E-05,3.88686094083823E-05,3.86616447940469E-05
4.2,-1.11706787720323E-04,3.90170389437117E-05,3.9009526517475E-05
4.3,-1.40378717333078E-04,4.0945549699245E-05,4.11720575357322E-05
4.4,-1.66284473380074E-04,4.46029698650818E-05,4.50755142082926E-05
4.5,-1.86365708941594E-04,4.96877619298175E-05,5.03891205880791E-05
4.6,-1.983935944736E-04,5.56925697310362E-05,5.65738118893933E-05
4.7,-2.01308590476401E-04,6.19821657892317E-05,6.29643764114007E-05
4.8,-1.95373999304138E-04,6.78899741615169E-05,6.88713844283484E-05
4.9,-1.82115487405099E-04,7.2820381319616E-05,7.36871661501937E-05
5,-1.64063370903023E-04,7.63382049626671E-05,7.69773978390731E-05
5.1,-1.44329373142682E-04,7.82313654781319E-05,7.85445226938464E-05
5.2,-1.26102531794459E-04,7.8537872468587E-05,7.8452896559611E-05
5.3,-1.12132998765446E-04,7.75305961724371E-05,7.70100377849303E-05
5.4,-1.04300190287177E-04,7.56655936129391E-05,7.47103767935187E-05
5.5,-1.03329155535903E-04,7.34992281650193E-05,7.21469696145505E-05
5.6,-1.08702086436097E-04,7.15920905349776E-05,6.99102020007558E-05
