*Time (s),Line A (?)
336,3.33E-04
337,7.09E-04
338,1.05E-03
339,1.30E-03
340,1.43E-03
341,1.43E-03
342,1.32E-03
343,1.13E-03
344,8.76E-04
345,6.07E-04
346,3.48E-04
347,1.24E-04
348,-5.36E-05
349,-1.86E-04
350,-2.92E-04
351,-4.04E-04
352,-5.58E-04
353,-7.74E-04
354,-1.04E-03
355,-1.30E-03
356,-1.45E-03
357,-1.41E-03
358,-1.15E-03
359,-7.48E-04
360,-3.11E-04
361,3.00E-05
362,2.15E-04
363,2.50E-04
364,2.01E-04
365,1.49E-04
366,1.70E-04
367,3.04E-04
368,5.56E-04
369,8.89E-04
370,1.24E-03
371,1.52E-03
372,1.68E-03
373,1.67E-03
374,1.48E-03
375,1.14E-03
376,6.92E-04
377,2.08E-04
378,-2.44E-04
379,-5.95E-04
380,-7.92E-04
381,-8.11E-04
382,-6.80E-04
383,-4.80E-04
384,-3.36E-04
385,-3.60E-04
386,-5.91E-04
387,-9.73E-04
388,-1.36E-03
389,-1.59E-03
390,-1.52E-03
391,-1.11E-03
392,-4.30E-04
393,3.29E-04
394,9.57E-04
395,1.31E-03
396,1.38E-03
397,1.22E-03
398,9.69E-04
399,7.20E-04
400,5.50E-04
401,4.95E-04
402,5.60E-04
403,7.26E-04
404,9.47E-04
405,1.16E-03
406,1.29E-03
407,1.27E-03
408,1.05E-03
409,6.35E-04
410,7.80E-05
411,-5.36E-04
412,-1.10E-03
413,-1.51E-03
414,-1.68E-03
415,-1.54E-03
416,-1.13E-03
417,-5.89E-04
418,-1.32E-04
419,4.99E-05
420,-8.91E-05
421,-4.43E-04
422,-8.33E-04
423,-1.09E-03
424,-1.12E-03
425,-8.91E-04
426,-4.33E-04
427,1.48E-04
428,7.00E-04
429,1.07E-03
430,1.16E-03
431,9.81E-04
432,5.99E-04
433,1.39E-04
434,-2.83E-04
435,-5.78E-04
436,-6.93E-04
437,-6.04E-04
438,-3.28E-04
439,6.50E-05
440,4.55E-04
441,7.00E-04
442,6.99E-04
443,4.51E-04
444,4.72E-05
445,-3.66E-04
446,-6.56E-04
447,-7.34E-04
448,-5.73E-04
449,-2.02E-04
450,2.94E-04
451,7.84E-04
452,1.13E-03
453,1.23E-03
454,1.09E-03
455,7.69E-04
456,3.97E-04
457,7.83E-05
458,-1.16E-04
459,-1.63E-04
460,-7.17E-05
461,1.21E-04
462,3.60E-04
463,5.72E-04
464,6.78E-04
465,6.13E-04
