Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-2.81865868601017E-06,-1.81990849057456E-08,7.99572489995626E-07
0.1,-1.97923436644487E-05,-2.74415654644145E-08,-3.53735981661885E-06
0.2,-4.30728796345647E-05,-3.85806551150836E-08,-5.75259127799654E-06
0.3,-6.97123687132262E-05,-5.01434058719497E-08,-5.37405958311865E-06
0.4,-9.63371421676129E-05,-6.0647892041743E-08,-2.30230193665193E-06
0.5,-1.19671713036951E-04,-6.88249670588448E-08,3.17831745633157E-06
0.6,-1.37042574351653E-04,-7.3831920133216E-08,1.04494611150585E-05
0.7,-1.46781792864203E-04,-7.53472093606433E-08,1.86634897545446E-05
0.8,-1.48460923810489E-04,-7.36113534571814E-08,2.6881414669333E-05
0.9,-1.42924021929502E-04,-6.93711825761056E-08,3.4224573028041E-05
1,-1.3210964971222E-04,-6.37087751442778E-08,4.00154713133816E-05
1.1,-1.18697782454547E-04,-5.79050336568798E-08,4.38801289419644E-05
1.2,-1.05637700471561E-04,-5.31480353060942E-08,4.58016875199974E-05
1.3,-9.56382937147282E-05,-5.03727903833351E-08,4.61120289401151E-05
1.4,-9.07023422769271E-05,-5.00892731736258E-08,4.54243381682318E-05
1.5,-9.17901052162051E-05,-5.22979810568813E-08,4.45197329099756E-05
1.6,-9.8657255875878E-05,-5.64920021872695E-08,4.42061973444652E-05
1.7,-1.09905493445694E-04,-6.17763831201046E-08,4.51714295195416E-05
1.8,-1.23226753203198E-04,-6.69979272061028E-08,4.78593683510553E-05
1.9,-1.35808339109644E-04,-7.09387038000386E-08,5.23860690009315E-05
2,-1.44827019539662E-04,-7.25635729281748E-08,5.85119996685535E-05
2.1,-1.4794802700635E-04,-7.11647842877028E-08,6.56752818031237E-05
2.2,-1.43749435665086E-04,-6.64942589878592E-08,7.30793981347233E-05
2.3,-1.3199653767515E-04,-5.88597828254933E-08,7.9822370025795E-05
2.4,-1.13721624074969E-04,-4.90428035959667E-08,8.50455035106279E-05
2.5,-9.10927701625042E-05,-3.81942939498003E-08,8.80765073816292E-05
2.6,-6.70938243274577E-05,-2.76669833709775E-08,8.85446934262291E-05
2.7,-4.50655825261492E-05,-1.8815187630139E-08,8.64475514390506E-05
2.8,-2.81822103715967E-05,-1.27582646669566E-08,8.21584908408113E-05
2.9,-1.89535803656327E-05,-1.0269991079781E-08,7.63742427807301E-05
3,-1.88267167686718E-05,-1.15877014650323E-08,7.00096716172993E-05
3.1,-2.7958589271293E-05,-1.64551270387392E-08,6.40569778624922E-05
3.2,-4.51949745183811E-05,-2.41230910802415E-08,5.94342709518969E-05
3.3,-6.82571626384743E-05,-3.34928174083871E-08,5.68439536436927E-05
3.4,-9.41105463425629E-05,-4.33030855617744E-08,5.66688759136014E-05
3.5,-1.1944607103942E-04,-5.2295263230917E-08,5.89188057347201E-05
3.6,-1.41205047839321E-04,-5.94377489449016E-08,6.32379960734397E-05
3.7,-1.57056245370768E-04,-6.40506669924434E-08,6.89717271598056E-05
3.8,-1.6574451001361E-04,-6.59208225783914E-08,7.52798368921503E-05
3.9,-1.67262129252777E-04,-6.52984581961391E-08,8.12795842648484E-05
4,-1.62809650646523E-04,-6.28440872674219E-08,8.61922089825384E-05
4.1,-1.54554640175775E-04,-5.94993636582331E-08,8.94715703907423E-05
4.2,-1.45234080264345E-04,-5.63062521052871E-08,9.08903966774233E-05
4.3,-1.37663926579989E-04,-5.42485203425258E-08,9.05726992641576E-05
4.4,-1.34236746816896E-04,-5.40191713582772E-08,8.89667207957245E-05
4.5,-1.36498041683808E-04,-5.59666517574442E-08,8.67607741383836E-05
4.6,-1.44866658956744E-04,-5.9996224877068E-08,8.47602059366181E-05
4.7,-1.58547903993167E-04,-6.55820429074083E-08,8.37431362015195E-05
4.8,-1.75657522049733E-04,-7.18374479902195E-08,8.431937021669E-05
4.9,-1.93530504475348E-04,-7.7697769995666E-08,8.68187780724838E-05
5,-2.09169113077223E-04,-8.20515708710445E-08,9.12243922357447E-05
5.1,-2.19753535930067E-04,-8.39698444110581E-08,9.71646950347349E-05
5.2,-2.23127703065984E-04,-8.28147079801056E-08,1.03964564914349E-04
5.3,-2.18183689867146E-04,-7.83980880214585E-08,1.10748456791043E-04
5.4,-2.05078540602699E-04,-7.10031642370268E-08,1.16578703455161E-04
5.5,-1.85241806320846E-04,-6.13704216334554E-08,1.20603959658183E-04
5.6,-1.61179734277539E-04,-5.06043278392099E-08,1.22198558528908E-04
5.7,-1.36098475195467E-04,-3.99644228821217E-08,1.21064054837916E-04
5.8,-1.1341720528435E-04,-3.07582226355407E-08,1.17280593258329E-04
5.9,-9.62349513429217E-05,-2.40243220872571E-08,1.11297151306644E-04
6,-8.68585048010573E-05,-2.05726351509838E-08,1.03863363619894E-04
6.1,-8.64487374201417E-05,-2.07097485827035E-08,9.59128010435961E-05
