Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-6.33870877209119E-05,-4.43515091319568E-05,-7.15997430233983E-08
0.1,-8.71767551871017E-05,-4.52829917776398E-05,-8.82953727909808E-08
0.2,-1.1160783469677E-04,-4.4261512812227E-05,3.04986969013044E-08
0.3,-1.33286550408229E-04,-4.12771951232571E-05,2.99004625503585E-07
0.4,-1.49123967275955E-04,-3.65377491107211E-05,6.98699864187802E-07
0.5,-1.56824011355639E-04,-3.04446602967801E-05,1.17960269108153E-06
0.6,-1.55243906192482E-04,-2.35427287407219E-05,1.66878805885062E-06
0.7,-1.4457204088103E-04,-1.64504290296463E-05,2.0827790194744E-06
0.8,-1.26292346976697E-04,-9.77919899014523E-06,2.34273716159805E-06
0.9,-1.02940743090585E-04,-4.05517675972078E-06,2.38923712458927E-06
1,-7.76968008722179E-05,3.47822179946888E-07,2.19390040001599E-06
1.1,-5.38738167961128E-05,3.25225869346468E-06,1.76566834397818E-06
1.2,-3.43960455211345E-05,4.69319411422475E-06,1.15048737825418E-06
1.3,-2.13450020964956E-05,4.90312868350884E-06,4.2435070213287E-07
1.4,-1.56491605594056E-05,4.26702990807826E-06,-3.19104231039091E-07
1.5,-1.69703016581479E-05,3.25542259815848E-06,-9.84211055765627E-07
1.6,-2.38007360167103E-05,2.34456388170656E-06,-1.48924982568133E-06
1.7,-3.37524834321812E-05,1.93564369510568E-06,-1.7801336298362E-06
1.8,-4.39946743426844E-05,2.28733915719204E-06,-1.83864722202998E-06
1.9,-5.17584594490472E-05,3.47092918673297E-06,-1.68467170169606E-06
2,-5.48294992768206E-05,5.35710069016204E-06,-1.37127540256188E-06
2.1,-5.19430795975495E-05,7.63728439778788E-06,-9.73927853920031E-07
2.2,-4.30149775638711E-05,9.87712519417983E-06,-5.7581411283536E-07
2.3,-2.91717205982422E-05,1.15941611511516E-05,-2.51982015697649E-07
2.4,-1.25725364341633E-05,1.2348475138424E-05,-5.53202355035865E-08
2.5,3.94851031160215E-06,1.18301013571909E-05,-6.9784724665567E-09
2.6,1.73560074472334E-05,9.93116645986447E-06,-9.30264008047743E-08
2.7,2.49306813202566E-05,6.78609967508237E-06,-2.67984574975344E-07
2.8,2.47379975917283E-05,2.77508661383763E-06,-4.64542267764045E-07
2.9,1.59753017214825E-05,-1.51490212374483E-06,-6.07630624926969E-07
3,-8.65221181811648E-07,-5.36436755282921E-06,-6.30168472071091E-07
3.1,-2.40432182181394E-05,-8.02396971266717E-06,-4.8748762537798E-07
3.2,-5.0819759053411E-05,-8.82708627614193E-06,-1.67625984204278E-07
3.3,-7.78715620981529E-05,-7.29640805730014E-06,3.04501753589648E-07
3.4,-1.01801189885009E-04,-3.2265422760247E-06,8.69978123319015E-07
3.5,-1.19660260679666E-04,3.27197585647809E-06,1.44535056278983E-06
3.6,-1.29401523736306E-04,1.17763465823373E-05,1.93705136553035E-06
3.7,-1.3018460595049E-04,2.160283838748E-05,2.26218071475159E-06
3.8,-1.22488447232172E-04,3.19003920594696E-05,2.34833078138763E-06
3.9,-1.08010346593801E-04,4.17723131249659E-05,2.165921159758E-06
4,-8.9372115326114E-05,5.04066374560352E-05,1.73486853327631E-06
4.1,-6.9678710133303E-05,5.71950622543227E-05,1.10288374344236E-06
4.2,-5.20068970217835E-05,6.18205522187054E-05,3.53775504891018E-07
4.3,-3.89053238905035E-05,6.42976374365389E-05,-4.10502366321452E-07
4.4,-3.19905375363305E-05,6.49603680358268E-05,-1.08700771761505E-06
4.5,-3.17014200845733E-05,6.43965395283885E-05,-1.58904174440977E-06
4.6,-3.7258902011672E-05,6.33392191957682E-05,-1.8605193190524E-06
4.7,-4.68271100544371E-05,6.25347602181137E-05,-1.88473438811343E-06
4.8,-5.7855428167386E-05,6.26079854555428E-05,-1.6860750520209E-06
4.9,-6.75403643981554E-05,6.39471036265604E-05,-1.32412640141411E-06
5,-7.33299311832525E-05,6.66314881527796E-05,-8.82015740444331E-07
5.1,-7.33856504666619E-05,7.04129197401926E-05,-4.50048077027532E-07
5.2,-6.69232322252356E-05,7.47563899494708E-05,-1.08741069482221E-07
5.3,-5.43773712706752E-05,7.89339828770608E-05,8.61373337102123E-08
5.4,-3.73585571651347E-05,8.21585126686841E-05,1.13660441058983E-07
5.5,-1.84119908226421E-05,8.37306142784655E-05,-8.94361740222394E-09
5.6,-6.11983921317005E-07,8.31793586257845E-05,-2.30440221571371E-07
5.7,1.29344762171968E-05,8.0365571193397E-05,-4.76146908567898E-07
5.8,1.95982302102493E-05,7.55336004658602E-05,-6.63267655909294E-07
5.9,1.7668493455858E-05,6.92965841153637E-05,-7.17780039849458E-07
6,6.64687468088232E-06,6.25579050392844E-05,-5.89899855185649E-07
6.1,-1.26504737636424E-05,5.63793364563026E-05,-2.6506671702009E-07
6.2,-3.82035068469122E-05,5.18167471454944E-05,2.31616141377344E-07
6.3,-6.70886147418059E-05,4.97494220326189E-05,8.38454752738471E-07
6.4,-9.59281460382044E-05,5.07339827890974E-05,1.46720719840232E-06
6.5,-1.21409058920108E-04,5.49060059711337E-05,2.01836883206852E-06
6.6,-1.40789634315297E-04,6.19477286818437E-05,2.3988552584342E-06
6.7,-1.52311127749272E-04,7.11303073330782E-05,2.53910366154741E-06
6.8,-1.55448986333795E-04,8.14219092717394E-05,2.40555027630762E-06
6.9,-1.50960535393097E-04,9.16481876629405E-05,2.00833596863959E-06
7,-1.4072735211812E-04,1.00675570138264E-04,1.39940493681934E-06
7.1,-1.27415158203803E-04,1.07590101833921E-04,6.6462558834246E-07
7.2,-1.14010057586711E-04,1.11837864096742E-04,-9.07520742998713E-08
7.3,-1.03311518614646E-04,1.13307163701393E-04,-7.59825127261138E-07
7.4,-9.74596187006682E-05,1.12333829747513E-04,-1.25219855817704E-06
7.5,-9.75821894826367E-05,1.09631604573224E-04,-1.50890218719724E-06
7.6,-1.03616548585705E-04,1.06157531263307E-04,-1.51168319462158E-06
7.7,-1.14334470708854E-04,1.02935126051307E-04,-1.28494718865113E-06
7.8,-1.27566876471974E-04,1.00867029686924E-04,-8.89997068043158E-07
7.9,-1.40590971568599E-04,1.0056856990559E-04,-4.12707862551542E-07
8,-1.50614578160457E-04,1.02251658972818E-04,5.29458290543516E-08
