Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-9.98357136268169E-05,-2.65377657626686E-08,-4.30629768288782E-07
0.1,-1.15131042548455E-04,-3.43823494119988E-08,-1.94692051991296E-06
0.2,-1.26704573631287E-04,-4.13486489492243E-08,-5.45364400750259E-06
0.3,-1.31971202790737E-04,-4.59798137342204E-08,-1.04299379017903E-05
0.4,-1.29211141029373E-04,-4.71476937491389E-08,-1.60826093633659E-05
0.5,-1.17884104838595E-04,-4.42552270385477E-08,-2.14683423109818E-05
0.6,-9.87512466963381E-05,-3.7357107629532E-08,-2.56436396739446E-05
0.7,-7.37855734769255E-05,-2.71702091936277E-08,-2.78145726042567E-05
0.8,-4.58845061075408E-05,-1.49461314435939E-08,-2.74647445621667E-05
0.9,-1.84317177627236E-05,-2.31121366489617E-09,-2.44383354583988E-05
1,5.22443951922469E-06,9.03792507500611E-09,-1.89671027328586E-05
1.1,2.22843100345926E-05,1.75578129812948E-08,-1.16338651423575E-05
1.2,3.09264760289807E-05,2.21449276693875E-08,-3.28140549754607E-06
1.3,3.05774192383979E-05,2.22966658469659E-08,5.12005090058665E-06
1.4,2.19789399125148E-05,1.8188893946558E-08,1.2624409464479E-05
1.5,7.04666672390886E-06,1.06443280856183E-08,1.84548152901698E-05
1.6,-1.14597432911978E-05,9.91364323965627E-10,2.21208829316311E-05
1.7,-3.04020468320232E-05,-9.16150355578793E-09,2.34866784012411E-05
1.8,-4.6776985982433E-05,-1.82019643801823E-08,2.27802065637661E-05
1.9,-5.82067004870623E-05,-2.47674130093856E-08,2.0543184291455E-05
2,-6.33144591120072E-05,-2.79768492816856E-08,1.75290952029172E-05
2.1,-6.19290294707753E-05,-2.75776095293168E-08,1.45685207826318E-05
2.2,-5.50837285118178E-05,-2.39689352810046E-08,1.24231391964713E-05
2.3,-4.48116115876473E-05,-1.81243997587899E-08,1.16522542157327E-05
2.4,-3.37692908942699E-05,-1.14269678164192E-08,1.25161077448865E-05
2.5,-2.47598236455815E-05,-5.40717381980471E-09,1.49309626067406E-05
2.6,-2.02262817765586E-05,-1.48854961690148E-09,1.84821528819157E-05
2.7,-2.18084933294449E-05,-7.20110693297471E-10,2.2495029043057E-05
2.8,-3.00332267215708E-05,-3.60278451516649E-09,2.6151503334404E-05
2.9,-4.41943593614269E-05,-9.98240512473103E-09,2.86301856249338E-05
3,-6.24395906925201E-05,-1.90701552327255E-08,2.92508630082011E-05
3.1,-8.20561181171797E-05,-2.95729751798035E-08,2.75962465821067E-05
3.2,-9.99007825157605E-05,-3.98951911506629E-08,2.35907427850179E-05
3.3,-1.12913352495525E-04,-4.84150781687731E-08,1.75248205778189E-05
3.4,-1.18621639558114E-04,-5.37461204430656E-08,1.00187626230763E-05
3.5,-1.15556002128869E-04,-5.49702541263741E-08,1.9319231796544E-06
3.6,-1.03507351013832E-04,-5.17963805179988E-08,-5.7667248256621E-06
3.7,-8.35812243167311E-05,-4.46112409235866E-08,-1.21489520097384E-05
3.8,-5.80426021770108E-05,-3.44177095712439E-08,-1.64691173267784E-05
3.9,-2.9972394258948E-05,-2.26730811903053E-08,-1.82798139576335E-05
